dominant_peer_ratio,seed,total_requests,oracle_mean_latency_ms,online_mean_latency_ms,agree_oracle_demand_count,agree_oracle_demand_rate,agree_oracle_median_count,agree_oracle_median_rate,agree_demand_median_count,agree_demand_median_rate,oracle_self_service_count,oracle_self_service_rate,total_latency_advantage_ms,self_service_advantage_ms,remote_advantage_ms,self_service_advantage_fraction
0.85,1,3072,9.513081,37.061402,2032,0.661458,2525,0.821940,2276,0.740885,2460,0.800781,84628.441408,54768.572619,29859.868789,0.647165
0.85,2,3076,9.541625,44.422502,2042,0.663849,2539,0.825423,2275,0.739597,2469,0.802666,107293.578843,75147.233757,32146.345086,0.700389
0.85,3,2993,9.570423,41.976926,2022,0.675576,2559,0.854995,2250,0.751754,2455,0.820247,96992.662504,72106.025485,24886.637019,0.743417
0.85,4,2947,9.265601,45.256369,1923,0.652528,2376,0.806244,2123,0.720394,2338,0.793349,106064.792975,71125.945261,34938.847714,0.670590
0.85,5,2961,11.377666,47.190579,1918,0.647754,2373,0.801418,2130,0.719352,2299,0.776427,106042.034197,71617.421062,34424.613135,0.675368
0.85,6,2952,9.430288,41.643569,1928,0.653117,2298,0.778455,2070,0.701220,2310,0.782520,95093.604451,60531.682057,34561.922394,0.636548
0.85,7,2971,11.513904,43.627153,2032,0.683945,2555,0.859980,2239,0.753618,2432,0.818580,95408.463654,72045.154309,23363.309345,0.755123
0.85,8,2983,9.825022,38.856227,2010,0.673818,2519,0.844452,2199,0.737177,2404,0.805900,86600.083841,62129.112867,24470.970974,0.717426
0.85,9,2932,10.490822,41.526672,1978,0.674625,2439,0.831855,2104,0.717599,2379,0.811392,90997.110841,65535.513264,25461.597577,0.720193
0.85,10,3006,10.288370,42.195069,2077,0.690951,2604,0.866267,2253,0.749501,2468,0.821025,95911.537943,69222.156892,26689.381051,0.721729
0.85,11,3002,10.185888,44.752829,2004,0.667555,2459,0.819121,2207,0.735177,2372,0.790140,103769.956402,72147.144590,31622.811812,0.695260
0.85,12,3026,9.489922,42.295731,1975,0.652677,2409,0.796100,2143,0.708196,2409,0.796100,99270.378311,66314.536924,32955.841387,0.668019
0.85,13,3014,9.711165,39.584210,2021,0.670537,2501,0.829794,2253,0.747512,2401,0.796616,90037.357259,60552.337056,29485.020203,0.672525
0.85,14,3050,10.749257,41.777575,2036,0.667541,2493,0.817377,2217,0.726885,2450,0.803279,94636.368917,66367.298591,28269.070326,0.701287
0.85,15,3022,10.797526,42.232679,2049,0.678028,2550,0.843812,2247,0.743547,2444,0.808736,94997.033223,68518.910995,26478.122228,0.721274
0.85,16,3097,9.173584,38.223358,2113,0.682273,2615,0.844366,2307,0.744914,2515,0.812076,89967.150660,61471.076882,28496.073778,0.683261
0.85,17,2945,9.582919,44.727215,1931,0.655688,2419,0.821392,2188,0.742954,2355,0.799660,103499.949985,74830.829803,28669.120182,0.723004
0.85,18,3040,9.129929,43.624107,2044,0.672368,2497,0.821382,2241,0.737171,2420,0.796053,104862.301416,73145.689218,31716.612198,0.697540
0.85,19,2979,9.178198,48.767082,1931,0.648204,2310,0.775428,2079,0.697885,2337,0.784491,117935.285275,79139.427036,38795.858239,0.671041
0.85,20,3045,10.626512,42.994072,2052,0.673892,2545,0.835796,2296,0.754023,2447,0.803612,98559.222074,69502.948430,29056.273644,0.705190
0.85,21,3058,9.459443,45.608976,2090,0.683453,2529,0.827011,2267,0.741334,2492,0.814912,110545.272196,77096.406726,33448.865470,0.697419
0.85,22,3009,9.324820,42.279796,2043,0.678963,2483,0.825191,2235,0.742772,2408,0.800266,99161.522839,67165.335179,31996.187660,0.677333
0.85,23,3060,10.074309,41.454344,2074,0.677778,2491,0.814052,2200,0.718954,2434,0.795425,96022.905021,62404.161884,33618.743137,0.649888
0.85,24,2894,10.733364,45.204091,1934,0.668279,2444,0.844506,2150,0.742916,2313,0.799240,99758.283067,72131.992993,27626.290074,0.723068
0.85,25,2903,9.718985,44.605066,1946,0.670341,2421,0.833965,2088,0.719256,2358,0.812263,101274.291891,74940.188326,26334.103565,0.739972
0.85,26,3057,10.272160,43.743007,2025,0.662414,2480,0.811253,2214,0.724239,2430,0.794897,102320.378724,64925.680235,37394.698489,0.634533
0.85,27,2968,10.307184,44.570322,1994,0.671833,2519,0.848720,2230,0.751348,2403,0.809636,101692.995131,74939.956777,26753.038354,0.736923
0.85,28,3014,9.412165,44.177287,2009,0.666556,2451,0.813205,2153,0.714333,2422,0.803583,104782.076809,72591.838691,32190.238118,0.692789
0.85,29,3063,9.313420,40.021238,2081,0.679399,2543,0.830232,2209,0.721188,2473,0.807378,94058.047133,65925.553332,28132.493801,0.700903
0.85,30,2933,11.501288,47.753788,2023,0.689737,2518,0.858507,2171,0.740198,2397,0.817252,106328.583563,81360.443646,24968.139917,0.765179
0.7,1,3072,15.017813,47.475798,1728,0.562500,1810,0.589193,1740,0.566406,1950,0.634766,99710.931688,44648.938149,55061.993539,0.447784
0.7,2,3076,15.558655,54.936778,1699,0.552341,2011,0.653771,2069,0.672627,1986,0.645644,121127.107212,65614.170785,55512.936427,0.541697
0.7,3,2993,16.342900,53.685799,1688,0.563983,1935,0.646509,1911,0.638490,1922,0.642165,111767.296348,57053.574598,54713.721750,0.510468
0.7,4,2947,14.694471,54.144022,1594,0.540889,1751,0.594164,1792,0.608076,1873,0.635562,116257.827325,59624.737616,56633.089709,0.512866
0.7,5,2961,17.041772,57.535094,1651,0.557582,1837,0.620399,1767,0.596758,1893,0.639311,119900.725428,63425.020536,56475.704892,0.528979
0.7,6,2952,15.142107,51.973545,1615,0.547087,1807,0.612127,1850,0.626694,1843,0.624322,108726.405668,51488.475727,57237.929941,0.473560
0.7,7,2971,18.567817,56.483706,1689,0.568495,2021,0.680242,2018,0.679233,1961,0.660047,112648.107550,64599.818545,48048.289005,0.573466
0.7,8,2983,15.991700,52.413277,1608,0.539055,1780,0.596715,1761,0.590345,1874,0.628227,108645.563838,51962.900835,56682.663003,0.478279
0.7,9,2932,16.572935,52.276322,1653,0.563779,1943,0.662688,1920,0.654843,1892,0.645293,104682.330000,54916.010848,49766.319152,0.524597
0.7,10,3006,16.796487,52.506491,1758,0.584830,2126,0.707252,1999,0.665003,1987,0.661011,107344.269927,58207.425032,49136.844895,0.542250
0.7,11,3002,16.372835,56.376542,1663,0.553964,1947,0.648568,1839,0.612592,1914,0.637575,120091.127972,64241.172322,55849.955650,0.534937
0.7,12,3026,15.424503,52.326349,1624,0.536682,1722,0.569068,1715,0.566755,1851,0.611699,111664.986155,49863.509826,61801.476329,0.446546
0.7,13,3014,15.382228,49.848221,1727,0.572993,1993,0.661248,2021,0.670537,1963,0.651294,103880.504924,50849.125947,53031.378977,0.489496
0.7,14,3050,18.274749,55.094780,1679,0.550492,1938,0.635410,1936,0.634754,1923,0.630492,112301.095392,55747.182783,56553.912609,0.496408
0.7,15,3022,17.359857,55.150445,1698,0.561880,1897,0.627730,1850,0.612177,1930,0.638650,114203.158036,56463.539980,57739.618056,0.494413
0.7,16,3097,15.104947,48.168809,1817,0.586697,2100,0.678076,2065,0.666774,2002,0.646432,102398.779651,50871.855653,51526.923998,0.496801
0.7,17,2945,15.988442,54.790248,1607,0.545671,1876,0.637012,1806,0.613243,1865,0.633277,114271.321010,62431.643106,51839.677904,0.546346
0.7,18,3040,14.382045,54.932337,1676,0.551316,1873,0.616118,1818,0.598026,1921,0.631908,123272.886051,60926.309042,62346.577009,0.494239
0.7,19,2979,14.770060,58.370837,1605,0.538771,1774,0.595502,1732,0.581403,1869,0.627392,129886.713620,62783.207685,67103.505935,0.483369
0.7,20,3045,17.119326,54.754736,1748,0.574056,1981,0.650575,1926,0.632512,1989,0.653202,114599.824037,59997.357693,54602.466344,0.523538
0.7,21,3058,15.908110,56.009350,1727,0.564748,2044,0.668411,1946,0.636364,1967,0.643231,122629.591664,65492.709188,57136.882476,0.534069
0.7,22,3009,15.636320,55.039088,1623,0.539382,1834,0.609505,1830,0.608175,1860,0.618146,118562.928815,54543.209377,64019.719438,0.460036
0.7,23,3060,15.724076,52.278965,1773,0.579412,1955,0.638889,1830,0.598039,1984,0.648366,111857.960367,55129.798018,56728.162349,0.492855
0.7,24,2894,17.579200,56.252161,1605,0.554596,1862,0.643400,1807,0.624395,1881,0.649965,111919.547438,63010.662831,48908.884607,0.563000
0.7,25,2903,16.133316,55.574991,1611,0.554943,1849,0.636927,1852,0.637961,1869,0.643817,114499.181904,61745.176701,52754.005203,0.539263
0.7,26,3057,16.008494,55.102602,1717,0.561662,1946,0.636572,2016,0.659470,1978,0.647040,119510.689023,56178.255342,63332.433681,0.470069
0.7,27,2968,16.966595,57.036674,1614,0.543801,1858,0.626011,1862,0.627358,1894,0.638140,118927.994120,62148.655823,56779.338297,0.522574
0.7,28,3014,15.232565,55.462374,1590,0.527538,1723,0.571666,1632,0.541473,1854,0.615129,121252.644899,57289.990807,63962.654092,0.472484
0.7,29,3063,15.320632,50.617659,1748,0.570682,1958,0.639243,1878,0.613124,1955,0.638263,108114.795059,56143.753677,51971.041382,0.519298
0.7,30,2933,18.503161,59.108201,1701,0.579952,2037,0.694511,1985,0.676781,1944,0.662803,119094.580969,70451.600947,48642.980022,0.591560
0.6,1,3072,18.249826,56.019434,1439,0.468424,1489,0.484701,1496,0.486979,1630,0.530599,116028.237302,44279.461370,71748.775932,0.381627
