dominant_peer_ratio,seed,policy_id,total_requests,mean_latency_ms,migration_count
0.25,6,engagement_g00_d0.0,2952,89.713271,599
0.25,6,engagement_g00_d1.0,2952,92.023534,262
0.25,6,engagement_g00_d2.0,2952,92.903269,194
0.25,7,engagement_g00_d0.0,2971,99.649205,658
0.25,7,engagement_g00_d1.0,2971,100.902341,279
0.25,7,engagement_g00_d2.0,2971,102.466453,188
0.25,8,engagement_g00_d0.0,2983,91.675526,673
0.25,8,engagement_g00_d1.0,2983,93.166376,264
0.25,8,engagement_g00_d2.0,2983,93.983857,179
0.25,9,engagement_g00_d0.0,2932,91.010245,632
0.25,9,engagement_g00_d1.0,2932,91.789098,275
0.25,9,engagement_g00_d2.0,2932,95.211194,193
0.25,10,engagement_g00_d0.0,3006,92.563110,710
0.25,10,engagement_g00_d1.0,3006,94.051186,275
0.25,10,engagement_g00_d2.0,3006,94.913736,176
0.25,11,engagement_g00_d0.0,3002,91.956048,675
0.25,11,engagement_g00_d1.0,3002,93.871391,274
0.25,11,engagement_g00_d2.0,3002,96.759990,177
0.25,12,engagement_g00_d0.0,3026,93.043868,690
0.25,12,engagement_g00_d1.0,3026,93.439263,280
0.25,12,engagement_g00_d2.0,3026,96.142972,193
0.25,13,engagement_g00_d0.0,3014,89.471915,639
0.25,13,engagement_g00_d1.0,3014,92.728904,255
0.25,13,engagement_g00_d2.0,3014,94.376746,183
0.25,14,engagement_g00_d0.0,3050,98.311348,658
0.25,14,engagement_g00_d1.0,3050,100.291567,268
0.25,14,engagement_g00_d2.0,3050,100.014989,193
0.25,15,engagement_g00_d0.0,3022,92.417172,658
0.25,15,engagement_g00_d1.0,3022,95.344906,264
0.25,15,engagement_g00_d2.0,3022,98.722263,192
0.25,16,engagement_g00_d0.0,3097,88.039463,644
0.25,16,engagement_g00_d1.0,3097,90.554909,247
0.25,16,engagement_g00_d2.0,3097,92.688447,178
0.25,17,engagement_g00_d0.0,2945,88.520778,640
0.25,17,engagement_g00_d1.0,2945,90.498483,261
0.25,17,engagement_g00_d2.0,2945,94.688794,184
0.25,18,engagement_g00_d0.0,3040,93.185016,664
0.25,18,engagement_g00_d1.0,3040,93.252303,271
0.25,18,engagement_g00_d2.0,3040,97.643632,190
0.25,19,engagement_g00_d0.0,2979,96.884057,649
0.25,19,engagement_g00_d1.0,2979,99.595754,252
0.25,19,engagement_g00_d2.0,2979,102.294484,181
0.25,20,engagement_g00_d0.0,3045,93.149687,675
0.25,20,engagement_g00_d1.0,3045,95.939555,261
0.25,20,engagement_g00_d2.0,3045,98.602172,188
0.25,21,engagement_g00_d0.0,3058,91.751716,630
0.25,21,engagement_g00_d1.0,3058,95.164811,267
0.25,21,engagement_g00_d2.0,3058,97.024196,180
0.25,22,engagement_g00_d0.0,3009,95.872424,695
0.25,22,engagement_g00_d1.0,3009,97.654454,261
0.25,22,engagement_g00_d2.0,3009,101.544314,183
0.25,23,engagement_g00_d0.0,3060,89.392210,604
0.25,23,engagement_g00_d1.0,3060,93.893296,275
0.25,23,engagement_g00_d2.0,3060,97.130017,178
0.25,24,engagement_g00_d0.0,2894,92.355815,621
0.25,24,engagement_g00_d1.0,2894,94.984717,264
0.25,24,engagement_g00_d2.0,2894,97.275981,188
0.25,25,engagement_g00_d0.0,2903,92.248656,657
0.25,25,engagement_g00_d1.0,2903,94.190395,272
0.25,25,engagement_g00_d2.0,2903,96.991890,196
0.25,26,engagement_g00_d0.0,3057,98.765474,645
0.25,26,engagement_g00_d1.0,3057,100.166705,266
0.25,26,engagement_g00_d2.0,3057,101.732731,189
0.25,27,engagement_g00_d0.0,2968,93.721981,659
0.25,27,engagement_g00_d1.0,2968,97.372160,266
0.25,27,engagement_g00_d2.0,2968,99.214641,190
0.25,28,engagement_g00_d0.0,3014,93.607081,645
0.25,28,engagement_g00_d1.0,3014,95.489668,272
0.25,28,engagement_g00_d2.0,3014,98.475195,191
0.25,29,engagement_g00_d0.0,3063,89.616069,632
0.25,29,engagement_g00_d1.0,3063,89.614569,259
0.25,29,engagement_g00_d2.0,3063,91.397263,180
0.25,30,engagement_g00_d0.0,2933,99.840728,637
0.25,30,engagement_g00_d1.0,2933,99.712762,275
0.25,30,engagement_g00_d2.0,2933,103.011460,193
