dominant_peer_ratio,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
0.25,engagement_g00_d0.0,3002.400000,53.895557,386.366667,25.776872,0.128627,0.007183,104.120423,3.656802,90.735562,3.487046,92.735562,3.487046,92.735562,3.487046,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g00_d0.25,3002.400000,53.895557,362.900000,22.732856,0.120822,0.006342,104.070481,3.716895,91.503967,3.538157,93.503967,3.538157,93.503967,3.538157,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g00_d0.5,3002.400000,53.895557,354.266667,23.651104,0.117942,0.006653,104.057843,3.725847,91.791378,3.532175,93.791378,3.532175,93.791378,3.532175,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g00_d1.0,3002.400000,53.895557,330.733333,22.021828,0.110115,0.006361,104.120699,3.718505,92.661351,3.532226,94.661351,3.532226,94.661351,3.532226,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g00_d10.0,3002.400000,53.895557,139.266667,11.996934,0.046371,0.003751,104.146868,5.046648,99.323356,4.960162,101.323356,4.960162,101.323356,4.960162,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g00_d2.0,3002.400000,53.895557,276.400000,23.795972,0.092011,0.007102,104.675342,3.812698,95.049215,3.666634,97.049215,3.666634,97.049215,3.666634,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g00_d5.0,3002.400000,53.895557,162.733333,12.359370,0.054207,0.004063,104.594508,4.724458,98.925976,4.513912,100.925976,4.513912,100.925976,4.513912,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d0.0,3002.400000,53.895557,185.966667,17.695671,0.061924,0.005587,104.959567,4.364929,98.460660,4.148740,100.460660,4.148740,100.460660,4.148740,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d0.25,3002.400000,53.895557,184.366667,16.740377,0.061396,0.005317,105.014097,4.613475,98.565852,4.342344,100.565852,4.342344,100.565852,4.342344,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d0.5,3002.400000,53.895557,182.800000,16.793677,0.060874,0.005345,105.032803,4.542631,98.638505,4.287575,100.638505,4.287575,100.638505,4.287575,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d1.0,3002.400000,53.895557,179.600000,16.624867,0.059797,0.005154,104.909216,4.672198,98.634703,4.393440,100.634703,4.393440,100.634703,4.393440,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d10.0,3002.400000,53.895557,149.100000,13.636538,0.049635,0.004206,104.494207,6.556090,99.316341,6.390988,101.316341,6.390988,101.316341,6.390988,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d2.0,3002.400000,53.895557,166.133333,15.771501,0.055308,0.004860,105.153565,4.702789,99.334935,4.406317,101.334935,4.406317,101.334935,4.406317,0.000000,0.000000,0.000000,0.000000
0.25,engagement_g05_d5.0,3002.400000,53.895557,138.933333,14.743633,0.046249,0.004573,104.403434,5.695262,99.580229,5.558814,101.580229,5.558814,101.580229,5.558814,0.000000,0.000000,0.000000,0.000000
0.25,naive_target_aware,3002.400000,53.895557,386.366667,25.776872,0.128627,0.007183,104.120423,3.656802,90.735562,3.487046,92.735562,3.487046,92.735562,3.487046,0.000000,0.000000,0.000000,0.000000
0.25,nearest,3002.400000,53.895557,151.300000,14.629092,0.050386,0.004697,103.692972,7.259139,98.466634,6.891248,100.466634,6.891248,100.466634,6.891248,0.000000,0.000000,0.000000,0.000000
0.25,oracle_a1,3002.400000,53.895557,864.433333,72.108483,0.288022,0.024797,35.506239,3.511546,25.223000,2.002383,27.223000,2.002383,27.223000,2.002383,0.000000,0.000000,0.000000,0.000000
0.25,static,3002.400000,53.895557,150.333333,12.169304,0.050047,0.003688,104.831414,6.630012,99.590844,6.408447,101.590844,6.408447,101.590844,6.408447,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d0.0,3002.400000,53.895557,511.633333,32.922567,0.170330,0.009112,103.991487,3.537372,86.285600,3.280266,88.285600,3.280266,88.285600,3.280266,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d0.25,3002.400000,53.895557,473.066667,28.262237,0.157498,0.007685,103.972929,3.704685,87.608453,3.521588,89.608453,3.521588,89.608453,3.521588,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d0.5,3002.400000,53.895557,458.233333,28.310694,0.152555,0.007741,104.089882,3.680963,88.219303,3.464492,90.219303,3.464492,90.219303,3.464492,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d1.0,3002.400000,53.895557,426.966667,27.710926,0.142147,0.007810,104.295213,3.845680,89.478018,3.604948,91.478018,3.604948,91.478018,3.604948,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d10.0,3002.400000,53.895557,123.633333,12.997303,0.041174,0.004230,103.895647,4.998830,99.616438,4.778491,101.616438,4.778491,101.616438,4.778491,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d2.0,3002.400000,53.895557,353.466667,23.891613,0.117665,0.006599,104.768369,3.963320,92.447703,3.728306,94.447703,3.728306,94.447703,3.728306,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g00_d5.0,3002.400000,53.895557,180.366667,14.723857,0.060059,0.004618,104.797596,5.248561,98.510203,5.091929,100.510203,5.091929,100.510203,5.091929,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d0.0,3002.400000,53.895557,258.500000,22.763779,0.086045,0.006758,104.299879,4.737822,95.329189,4.467404,97.329189,4.467404,97.329189,4.467404,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d0.25,3002.400000,53.895557,255.300000,22.195293,0.084979,0.006548,104.377984,4.829243,95.512070,4.558219,97.512070,4.558219,97.512070,4.558219,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d0.5,3002.400000,53.895557,251.933333,22.075003,0.083861,0.006566,104.315322,4.805421,95.573561,4.592361,97.573561,4.592361,97.573561,4.592361,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d1.0,3002.400000,53.895557,244.500000,21.672722,0.081385,0.006436,104.257660,4.866401,95.778343,4.643961,97.778343,4.643961,97.778343,4.643961,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d10.0,3002.400000,53.895557,144.100000,16.135953,0.047976,0.005137,105.104457,6.028298,100.062924,5.777519,102.062924,5.777519,102.062924,5.777519,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d2.0,3002.400000,53.895557,220.766667,18.576372,0.073497,0.005574,104.051924,4.891788,96.409955,4.691080,98.409955,4.691080,98.409955,4.691080,0.000000,0.000000,0.000000,0.000000
0.3,engagement_g05_d5.0,3002.400000,53.895557,143.066667,15.092664,0.047632,0.004738,103.669380,5.218289,98.737587,5.120022,100.737587,5.120022,100.737587,5.120022,0.000000,0.000000,0.000000,0.000000
0.3,naive_target_aware,3002.400000,53.895557,511.633333,32.922567,0.170330,0.009112,103.991487,3.537372,86.285600,3.280266,88.285600,3.280266,88.285600,3.280266,0.000000,0.000000,0.000000,0.000000
0.3,nearest,3002.400000,53.895557,151.200000,14.573003,0.050371,0.004919,103.797384,7.295449,98.561379,6.847042,100.561379,6.847042,100.561379,6.847042,0.000000,0.000000,0.000000,0.000000
0.3,oracle_a1,3002.400000,53.895557,932.033333,74.101740,0.310499,0.024911,35.484208,3.536719,24.415167,2.019203,26.415167,2.019203,26.415167,2.019203,0.000000,0.000000,0.000000,0.000000
0.3,static,3002.400000,53.895557,147.166667,14.098382,0.049002,0.004479,105.068492,6.872665,99.919641,6.543135,101.919641,6.543135,101.919641,6.543135,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d0.0,3002.400000,53.895557,783.633333,35.398698,0.260918,0.008453,104.283980,3.823824,77.078277,3.061920,79.078277,3.061920,79.078277,3.061920,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d0.25,3002.400000,53.895557,712.633333,34.866725,0.237271,0.008740,104.536858,4.116232,79.739509,3.419022,81.739509,3.419022,81.739509,3.419022,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d0.5,3002.400000,53.895557,688.500000,32.891410,0.229248,0.008430,104.565907,4.152594,80.602918,3.520975,82.602918,3.520975,82.602918,3.520975,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d1.0,3002.400000,53.895557,638.666667,30.231673,0.212654,0.007666,104.597691,4.176995,82.365295,3.634772,84.365295,3.634772,84.365295,3.634772,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d10.0,3002.400000,53.895557,103.800000,17.347165,0.034560,0.005645,103.960731,4.736973,100.370953,4.682761,102.370953,4.682761,102.370953,4.682761,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d2.0,3002.400000,53.895557,528.733333,27.033738,0.176044,0.007080,104.714779,4.369639,86.285716,3.793170,88.285716,3.793170,88.285716,3.793170,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g00_d5.0,3002.400000,53.895557,234.900000,20.998112,0.078201,0.006447,105.057875,5.109994,96.855290,5.021603,98.855290,5.021603,98.855290,5.021603,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d0.0,3002.400000,53.895557,478.633333,30.285405,0.159361,0.008614,105.123765,4.672242,88.379664,4.208659,90.379664,4.208659,90.379664,4.208659,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d0.25,3002.400000,53.895557,471.133333,31.132346,0.156861,0.008956,105.123048,4.649530,88.642439,4.224171,90.642439,4.224171,90.642439,4.224171,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d0.5,3002.400000,53.895557,465.000000,30.192486,0.154823,0.008714,105.098504,4.658865,88.836088,4.237917,90.836088,4.237917,90.836088,4.237917,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d1.0,3002.400000,53.895557,444.700000,30.632584,0.148057,0.008876,104.951024,4.600197,89.424031,4.279071,91.424031,4.279071,91.424031,4.279071,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d10.0,3002.400000,53.895557,135.066667,15.238186,0.044975,0.004913,104.945201,5.890467,100.226352,5.677823,102.226352,5.677823,102.226352,5.677823,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d2.0,3002.400000,53.895557,386.000000,28.296460,0.128520,0.008471,105.046588,4.971622,91.557075,4.647682,93.557075,4.647682,93.557075,4.647682,0.000000,0.000000,0.000000,0.000000
0.4,engagement_g05_d5.0,3002.400000,53.895557,181.066667,16.903241,0.060288,0.005314,105.076977,5.488777,98.755247,5.440630,100.755247,5.440630,100.755247,5.440630,0.000000,0.000000,0.000000,0.000000
0.4,naive_target_aware,3002.400000,53.895557,783.633333,35.398698,0.260918,0.008453,104.283980,3.823824,77.078277,3.061920,79.078277,3.061920,79.078277,3.061920,0.000000,0.000000,0.000000,0.000000
0.4,nearest,3002.400000,53.895557,152.033333,17.546949,0.050612,0.005564,103.462809,7.330962,98.215885,6.836380,100.215885,6.836380,100.215885,6.836380,0.000000,0.000000,0.000000,0.000000
0.4,oracle_a1,3002.400000,53.895557,1103.266667,68.051671,0.367460,0.021562,36.130407,3.478107,22.807269,1.800630,24.807269,1.800630,24.807269,1.800630,0.000000,0.000000,0.000000,0.000000
0.4,static,3002.400000,53.895557,148.166667,12.846798,0.049326,0.003953,104.955226,6.582734,99.782806,6.350950,101.782806,6.350950,101.782806,6.350950,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g00_d0.0,3002.400000,53.895557,1044.600000,37.091313,0.347859,0.008228,104.947668,4.034103,68.442717,2.812248,70.442717,2.812248,70.442717,2.812248,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g00_d0.25,3002.400000,53.895557,943.600000,34.505971,0.314215,0.007501,105.034690,4.197553,72.033486,3.029568,74.033486,3.029568,74.033486,3.029568,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g00_d0.5,3002.400000,53.895557,909.066667,33.035961,0.302733,0.007835,104.938997,4.173408,73.175271,3.129010,75.175271,3.129010,75.175271,3.129010,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g00_d1.0,3002.400000,53.895557,839.400000,29.898218,0.279539,0.007230,104.879988,4.305144,75.567813,3.314936,77.567813,3.314936,77.567813,3.314936,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g00_d10.0,3002.400000,53.895557,84.266667,13.531402,0.028056,0.004410,104.252085,5.622731,101.330778,5.551876,103.330778,5.551876,103.330778,5.551876,0.000000,0.000000,0.000000,0.000000
