dominant_peer_ratio,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
0.85,1,static,3072,163,0.053060,95.296726,90.240291,92.240291,92.240291,0.000000,0.000000
0.85,1,nearest,3072,161,0.052409,98.451809,93.292062,95.292062,95.292062,0.000000,0.000000
0.85,1,naive_target_aware,3072,1903,0.619466,92.137405,35.061402,37.061402,37.061402,0.000000,0.000000
0.85,1,engagement_g00_d0.0,3072,1903,0.619466,92.137405,35.061402,37.061402,37.061402,0.000000,0.000000
0.85,1,engagement_g00_d0.25,3072,1711,0.556966,90.933690,40.286703,42.286703,42.286703,0.000000,0.000000
0.85,1,engagement_g00_d0.5,3072,1630,0.530599,90.933888,42.684462,44.684462,44.684462,0.000000,0.000000
0.85,1,engagement_g00_d1.0,3072,1487,0.484049,90.075142,46.474316,48.474316,48.474316,0.000000,0.000000
0.85,1,engagement_g00_d2.0,3072,1226,0.399089,89.782597,53.951391,55.951391,55.951391,0.000000,0.000000
0.85,1,engagement_g00_d5.0,3072,477,0.155273,88.036144,74.366469,76.366469,76.366469,0.000000,0.000000
0.85,1,engagement_g00_d10.0,3072,24,0.007812,98.381890,97.613281,99.613281,99.613281,0.000000,0.000000
0.85,1,engagement_g05_d0.0,3072,1873,0.609701,91.421594,35.681801,37.681801,37.681801,0.000000,0.000000
0.85,1,engagement_g05_d0.25,3072,1704,0.554688,90.429100,40.269208,42.269208,42.269208,0.000000,0.000000
0.85,1,engagement_g05_d0.5,3072,1625,0.528971,90.296497,42.532237,44.532237,44.532237,0.000000,0.000000
0.85,1,engagement_g05_d1.0,3072,1484,0.483073,89.566039,46.299111,48.299111,48.299111,0.000000,0.000000
0.85,1,engagement_g05_d2.0,3072,1225,0.398763,89.284985,53.681435,55.681435,55.681435,0.000000,0.000000
0.85,1,engagement_g05_d5.0,3072,477,0.155273,87.641409,74.033026,76.033026,76.033026,0.000000,0.000000
0.85,1,engagement_g05_d10.0,3072,18,0.005859,97.414010,96.843225,98.843225,98.843225,0.000000,0.000000
0.85,1,oracle_a1,3072,2460,0.800781,37.712721,7.513081,9.513081,9.513081,0.000000,0.000000
0.85,2,static,3076,159,0.051691,100.928928,95.711860,97.711860,97.711860,0.000000,0.000000
