dominant_peer_ratio,policy_id,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,migration_count_mean,migration_count_std,max_requests_per_peer_mean,max_requests_per_peer_std,request_imbalance_mean,request_imbalance_std,migration_floor
0.25,engagement_g00_d0.0,92.735562,3.487046,190.358310,2.697285,657.366667,27.872225,275.700000,28.941260,1.835979,0.185107,150.000000
0.25,engagement_g00_d0.25,93.503967,3.538157,190.421823,2.702877,370.866667,13.655196,274.133333,29.743424,1.825703,0.192000,150.000000
0.25,engagement_g00_d0.5,93.791378,3.532175,190.269390,2.817553,328.733333,10.348857,277.100000,31.801486,1.845525,0.206380,150.000000
0.25,engagement_g00_d1.0,94.661351,3.532226,190.612695,2.960767,266.466667,8.240913,278.366667,28.509506,1.853761,0.181378,150.000000
0.25,engagement_g00_d10.0,101.323356,4.960162,190.742865,4.131696,9.166667,2.393718,706.966667,145.293397,4.710552,0.966628,150.000000
0.25,engagement_g00_d2.0,97.049215,3.666634,190.852609,3.130995,186.133333,5.852988,284.966667,36.373051,1.897393,0.233008,150.000000
0.25,engagement_g00_d5.0,100.925976,4.513912,191.737212,3.342543,71.766667,5.137310,366.733333,63.409416,2.441508,0.411647,150.000000
0.25,engagement_g05_d0.0,100.460660,4.148740,192.049779,2.925200,46.800000,6.260990,442.500000,82.459081,2.949025,0.552305,150.000000
0.25,engagement_g05_d0.25,100.565852,4.342344,192.054960,2.932414,41.933333,5.445234,451.766667,86.516366,3.010318,0.577488,150.000000
0.25,engagement_g05_d0.5,100.638505,4.287575,192.202424,2.954787,40.966667,5.616990,455.333333,86.135552,3.034655,0.579087,150.000000
0.25,engagement_g05_d1.0,100.634703,4.393440,192.149243,3.016757,39.566667,5.386339,458.766667,89.258896,3.057545,0.599197,150.000000
0.25,engagement_g05_d10.0,101.316341,6.390988,190.475538,4.309470,0.633333,0.718395,848.633333,273.541711,5.648983,1.804773,150.000000
0.25,engagement_g05_d2.0,101.334935,4.406317,192.239590,3.082129,35.000000,5.099020,503.766667,116.411187,3.352466,0.757250,150.000000
0.25,engagement_g05_d5.0,101.580229,5.558814,190.690093,4.252535,13.833333,4.009328,722.700000,204.170846,4.810599,1.343089,150.000000
0.25,naive_target_aware,92.735562,3.487046,190.358310,2.697285,657.366667,27.872225,275.700000,28.941260,1.835979,0.185107,150.000000
0.25,nearest,100.466634,6.891248,190.418724,5.715438,12.566667,12.330739,956.266667,325.803721,6.378925,2.209566,150.000000
0.25,oracle_a1,27.223000,2.002383,71.395642,7.593814,1539.133333,103.968076,578.100000,198.339547,3.848642,1.318428,150.000000
0.25,static,101.590844,6.408447,190.671026,4.790581,0.000000,0.000000,895.500000,332.643306,5.962831,2.216260,150.000000
0.3,engagement_g00_d0.0,88.285600,3.280266,189.754643,3.063827,558.766667,29.832502,247.433333,21.750439,1.648472,0.144374,150.000000
0.3,engagement_g00_d0.25,89.608453,3.521588,189.810498,3.156006,323.933333,13.903444,249.300000,22.778014,1.660682,0.149261,150.000000
0.3,engagement_g00_d0.5,90.219303,3.464492,190.325833,3.441538,290.366667,11.436431,248.900000,24.267688,1.658114,0.160662,150.000000
0.3,engagement_g00_d1.0,91.478018,3.604948,190.086645,3.775053,243.900000,10.462907,251.000000,23.604500,1.672119,0.156131,150.000000
0.3,engagement_g00_d10.0,101.616438,4.778491,191.013410,3.894003,14.666667,3.055050,672.700000,134.626213,4.479580,0.887592,150.000000
0.3,engagement_g00_d2.0,94.447703,3.728306,190.514119,3.458904,179.533333,6.328552,252.366667,36.433675,1.681339,0.244317,150.000000
0.3,engagement_g00_d5.0,100.510203,5.091929,191.343976,3.466899,89.000000,5.948051,308.900000,49.262387,2.057753,0.324279,150.000000
0.3,engagement_g05_d0.0,97.329189,4.467404,191.356317,3.818742,69.200000,5.938768,358.100000,57.332274,2.387024,0.388105,150.000000
0.3,engagement_g05_d0.25,97.512070,4.558219,191.360104,3.760419,64.566667,5.164089,362.066667,56.181316,2.412821,0.376485,150.000000
0.3,engagement_g05_d0.5,97.573561,4.592361,191.289073,3.841998,63.766667,4.931834,359.200000,58.588807,2.393987,0.393596,150.000000
0.3,engagement_g05_d1.0,97.778343,4.643961,191.206465,3.869692,62.266667,5.212276,364.800000,58.902842,2.430846,0.392813,150.000000
0.3,engagement_g05_d10.0,102.062924,5.777519,191.354936,3.856628,1.500000,1.167077,853.733333,261.107975,5.682246,1.718490,150.000000
0.3,engagement_g05_d2.0,98.409955,4.691080,191.206628,3.949960,56.666667,4.528327,394.866667,68.112348,2.627621,0.430149,150.000000
0.3,engagement_g05_d5.0,100.737587,5.120022,190.851903,4.279048,28.066667,3.647704,530.566667,148.850465,3.534909,0.995337,150.000000
0.3,naive_target_aware,88.285600,3.280266,189.754643,3.063827,558.766667,29.832502,247.433333,21.750439,1.648472,0.144374,150.000000
0.3,nearest,100.561379,6.847042,190.775360,5.269512,12.566667,12.330739,956.266667,325.803721,6.378925,2.209566,150.000000
0.3,oracle_a1,26.415167,2.019203,71.212579,7.533454,1499.666667,97.630314,552.400000,186.241149,3.678235,1.237249,150.000000
0.3,static,101.919641,6.543135,191.173027,4.650396,0.000000,0.000000,895.500000,332.643306,5.962831,2.216260,150.000000
0.4,engagement_g00_d0.0,79.078277,3.061920,188.522559,3.361559,382.466667,15.399806,212.700000,17.463558,1.417208,0.117830,150.000000
0.4,engagement_g00_d0.25,81.739509,3.419022,189.175404,3.467123,239.800000,10.172309,212.433333,16.996315,1.415656,0.117732,150.000000
0.4,engagement_g00_d0.5,82.602918,3.520975,189.188370,3.615382,221.233333,10.115483,212.500000,17.512065,1.416304,0.123525,150.000000
0.4,engagement_g00_d1.0,84.365295,3.634772,189.505541,3.826911,196.066667,8.800209,214.700000,18.993919,1.430761,0.131291,150.000000
0.4,engagement_g00_d10.0,102.370953,4.682761,191.147349,3.875223,29.866667,4.232333,503.566667,135.160360,3.353791,0.890989,150.000000
0.4,engagement_g00_d2.0,88.285716,3.793170,189.846416,4.038918,165.500000,5.070197,218.566667,18.733491,1.456723,0.132181,150.000000
0.4,engagement_g00_d5.0,98.855290,5.021603,191.435695,3.895910,118.766667,5.028768,246.733333,27.092350,1.643033,0.173212,150.000000
0.4,engagement_g05_d0.0,90.379664,4.208659,190.368522,4.244862,112.466667,5.587753,259.833333,27.455397,1.731243,0.182429,150.000000
