dominant_peer_ratio,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
0.85,1,static,3072,92.240291,192.868599,0,1224,7.968750
0.85,1,nearest,3072,95.292062,192.868599,25,629,4.095052
0.85,1,naive_target_aware,3072,37.061402,161.725735,150,181,1.178385
0.85,1,engagement_g00_d0.0,3072,37.061402,161.725735,150,181,1.178385
0.85,1,engagement_g00_d0.25,3072,42.286703,164.319146,150,186,1.210938
0.85,1,engagement_g00_d0.5,3072,44.684462,176.547986,150,186,1.210938
0.85,1,engagement_g00_d1.0,3072,48.474316,180.419762,150,189,1.230469
0.85,1,engagement_g00_d2.0,3072,55.951391,184.634696,150,194,1.263021
0.85,1,engagement_g00_d5.0,3072,76.366469,184.634696,150,204,1.328125
0.85,1,engagement_g00_d10.0,3072,99.613281,184.634696,62,266,1.731771
0.85,1,engagement_g05_d0.0,3072,37.681801,162.396143,149,178,1.158854
0.85,1,engagement_g05_d0.25,3072,42.269208,166.446936,149,185,1.204427
0.85,1,engagement_g05_d0.5,3072,44.532237,176.547986,149,185,1.204427
0.85,1,engagement_g05_d1.0,3072,48.299111,180.419762,149,189,1.230469
0.85,1,engagement_g05_d2.0,3072,55.681435,184.634696,149,194,1.263021
0.85,1,engagement_g05_d5.0,3072,76.033026,184.634696,149,204,1.328125
0.85,1,engagement_g05_d10.0,3072,98.843225,184.634696,53,338,2.200521
0.85,1,oracle_a1,3072,9.513081,55.074067,661,245,1.595052
0.85,2,static,3076,97.711860,187.852690,0,1260,8.192458
0.85,2,nearest,3076,87.885892,188.329955,5,1206,7.841352
0.85,2,naive_target_aware,3076,44.422502,184.839288,152,199,1.293888
0.85,2,engagement_g00_d0.0,3076,44.422502,184.839288,152,199,1.293888
0.85,2,engagement_g00_d0.25,3076,52.152182,195.394846,150,196,1.274382
0.85,2,engagement_g00_d0.5,3076,54.042589,195.394846,150,197,1.280884
0.85,2,engagement_g00_d1.0,3076,58.637119,195.394846,150,191,1.241873
0.85,2,engagement_g00_d2.0,3076,68.389769,198.371029,149,200,1.300390
0.85,2,engagement_g00_d5.0,3076,95.308878,198.371029,148,209,1.358908
0.85,2,engagement_g00_d10.0,3076,111.132834,191.478106,59,352,2.288687
0.85,2,engagement_g05_d0.0,3076,45.005687,185.294586,152,199,1.293888
0.85,2,engagement_g05_d0.25,3076,52.192358,195.394846,150,196,1.274382
0.85,2,engagement_g05_d0.5,3076,54.082765,195.394846,150,197,1.280884
0.85,2,engagement_g05_d1.0,3076,58.677296,195.394846,150,191,1.241873
0.85,2,engagement_g05_d2.0,3076,68.389769,198.371029,149,200,1.300390
0.85,2,engagement_g05_d5.0,3076,94.673076,198.371029,147,209,1.358908
0.85,2,engagement_g05_d10.0,3076,108.304731,191.478106,50,352,2.288687
0.85,2,oracle_a1,3076,9.541625,56.070585,620,233,1.514954
0.85,3,static,2993,94.786623,186.923839,0,620,4.143000
0.85,3,nearest,2993,91.008822,175.873447,5,1175,7.851654
0.85,3,naive_target_aware,2993,41.976926,169.465924,153,183,1.222853
0.85,3,engagement_g00_d0.0,2993,41.976926,169.465924,153,183,1.222853
0.85,3,engagement_g00_d0.25,2993,48.644618,169.465924,151,182,1.216171
0.85,3,engagement_g00_d0.5,2993,50.765148,169.465924,150,182,1.216171
0.85,3,engagement_g00_d1.0,2993,55.048309,175.033200,150,174,1.162713
0.85,3,engagement_g00_d2.0,2993,63.975625,185.560987,150,173,1.156031
0.85,3,engagement_g00_d5.0,2993,89.584532,186.106128,147,185,1.236218
0.85,3,engagement_g00_d10.0,2993,105.462208,188.906630,58,286,1.911126
0.85,3,engagement_g05_d0.0,2993,42.974380,169.465924,153,184,1.229536
0.85,3,engagement_g05_d0.25,2993,48.749092,169.465924,151,182,1.216171
0.85,3,engagement_g05_d0.5,2993,50.789221,169.465924,150,182,1.216171
0.85,3,engagement_g05_d1.0,2993,55.067494,175.033200,150,174,1.162713
0.85,3,engagement_g05_d2.0,2993,63.975625,185.560987,150,173,1.156031
0.85,3,engagement_g05_d5.0,2993,89.584532,186.106128,147,185,1.236218
0.85,3,engagement_g05_d10.0,2993,107.481895,188.906630,53,326,2.178416
0.85,3,oracle_a1,2993,9.570423,53.641915,570,189,1.262947
0.85,4,static,2947,102.474367,193.697416,0,606,4.112657
0.85,4,nearest,2947,98.946037,189.576396,4,606,4.112657
0.85,4,naive_target_aware,2947,45.256369,171.177543,154,219,1.486257
0.85,4,engagement_g00_d0.0,2947,45.256369,171.177543,154,219,1.486257
0.85,4,engagement_g00_d0.25,2947,52.733287,178.507730,150,218,1.479471
0.85,4,engagement_g00_d0.5,2947,54.739488,179.622313,150,221,1.499830
0.85,4,engagement_g00_d1.0,2947,58.483899,183.504948,150,218,1.479471
0.85,4,engagement_g00_d2.0,2947,67.159894,191.389529,150,226,1.533763
0.85,4,engagement_g00_d5.0,2947,93.692416,193.368367,149,214,1.452324
0.85,4,engagement_g00_d10.0,2947,115.528928,195.798390,57,284,1.927384
0.85,4,engagement_g05_d0.0,2947,46.141335,171.177543,152,218,1.479471
0.85,4,engagement_g05_d0.25,2947,52.803184,178.796905,150,218,1.479471
0.85,4,engagement_g05_d0.5,2947,54.809386,179.622313,150,221,1.499830
0.85,4,engagement_g05_d1.0,2947,58.551825,183.504948,150,218,1.479471
0.85,4,engagement_g05_d2.0,2947,67.159894,191.389529,150,226,1.533763
0.85,4,engagement_g05_d5.0,2947,93.822750,193.368367,147,214,1.452324
0.85,4,engagement_g05_d10.0,2947,112.898901,195.798390,49,360,2.443163
0.85,4,oracle_a1,2947,9.265601,43.394165,666,235,1.594842
0.85,5,static,2961,100.259387,188.688177,0,1225,8.274232
0.85,5,nearest,2961,100.010200,185.423886,6,626,4.228301
0.85,5,naive_target_aware,2961,47.190579,180.936103,154,190,1.283350
0.85,5,engagement_g00_d0.0,2961,47.190579,180.936103,154,190,1.283350
0.85,5,engagement_g00_d0.25,2961,54.351151,180.936103,151,191,1.290105
0.85,5,engagement_g00_d0.5,2961,57.057268,180.936103,151,192,1.296859
0.85,5,engagement_g00_d1.0,2961,61.624566,187.323161,150,185,1.249578
0.85,5,engagement_g00_d2.0,2961,70.667656,196.075920,149,187,1.263087
0.85,5,engagement_g00_d5.0,2961,97.996778,196.075920,148,205,1.384667
0.85,5,engagement_g00_d10.0,2961,108.118683,196.075920,48,479,3.235393
0.85,5,engagement_g05_d0.0,2961,48.624413,180.936103,151,194,1.310368
0.85,5,engagement_g05_d0.25,2961,54.734206,180.936103,150,192,1.296859
0.85,5,engagement_g05_d0.5,2961,57.445101,180.936103,150,192,1.296859
0.85,5,engagement_g05_d1.0,2961,61.736349,187.323161,150,185,1.249578
0.85,5,engagement_g05_d2.0,2961,70.667656,196.075920,149,187,1.263087
0.85,5,engagement_g05_d5.0,2961,97.985228,196.075920,147,205,1.384667
0.85,5,engagement_g05_d10.0,2961,109.534012,196.226590,36,512,3.458291
0.85,5,oracle_a1,2961,11.377666,61.083220,637,199,1.344140
0.85,6,static,2952,102.003855,191.861847,0,1121,7.594851
0.85,6,nearest,2952,107.885483,191.861847,4,1789,12.120596
0.85,6,naive_target_aware,2952,41.643569,178.721953,150,199,1.348238
0.85,6,engagement_g00_d0.0,2952,41.643569,178.721953,150,199,1.348238
0.85,6,engagement_g00_d0.25,2952,48.096706,185.692290,150,199,1.348238
0.85,6,engagement_g00_d0.5,2952,49.528943,185.692290,150,202,1.368564
0.85,6,engagement_g00_d1.0,2952,54.006758,189.900942,150,199,1.348238
0.85,6,engagement_g00_d2.0,2952,61.602094,189.900942,150,201,1.361789
0.85,6,engagement_g00_d5.0,2952,86.362239,194.665214,148,202,1.368564
0.85,6,engagement_g00_d10.0,2952,105.142396,194.665214,55,392,2.655827
0.85,6,engagement_g05_d0.0,2952,42.922024,179.042980,150,197,1.334688
0.85,6,engagement_g05_d0.25,2952,48.126174,185.692290,150,199,1.348238
0.85,6,engagement_g05_d0.5,2952,49.541923,185.692290,150,202,1.368564
0.85,6,engagement_g05_d1.0,2952,54.019738,189.900942,150,199,1.348238
0.85,6,engagement_g05_d2.0,2952,61.602094,189.900942,150,201,1.361789
0.85,6,engagement_g05_d5.0,2952,86.056506,194.665214,147,213,1.443089
0.85,6,engagement_g05_d10.0,2952,103.360543,194.665214,49,392,2.655827
0.85,6,oracle_a1,2952,9.430288,45.914867,648,319,2.161247
0.85,7,static,2971,113.041459,194.443616,0,1186,7.983844
0.85,7,nearest,2971,105.766907,190.860806,5,1156,7.781892
0.85,7,naive_target_aware,2971,43.627153,179.199864,150,241,1.622349
0.85,7,engagement_g00_d0.0,2971,43.627153,179.199864,150,241,1.622349
0.85,7,engagement_g00_d0.25,2971,50.544098,193.018501,150,238,1.602154
0.85,7,engagement_g00_d0.5,2971,52.686803,193.018501,150,240,1.615618
0.85,7,engagement_g00_d1.0,2971,57.408863,193.018501,150,243,1.635813
0.85,7,engagement_g00_d2.0,2971,67.049085,193.345003,150,238,1.602154
0.85,7,engagement_g00_d5.0,2971,94.487890,193.345003,148,234,1.575227
0.85,7,engagement_g00_d10.0,2971,118.474832,194.999538,55,402,2.706160
0.85,7,engagement_g05_d0.0,2971,44.678444,185.724990,150,242,1.629081
0.85,7,engagement_g05_d0.25,2971,50.608867,193.018501,150,239,1.608886
0.85,7,engagement_g05_d0.5,2971,52.741052,193.018501,150,240,1.615618
0.85,7,engagement_g05_d1.0,2971,57.420253,193.018501,150,243,1.635813
0.85,7,engagement_g05_d2.0,2971,67.049085,193.345003,150,238,1.602154
0.85,7,engagement_g05_d5.0,2971,94.270489,193.345003,146,234,1.575227
0.85,7,engagement_g05_d10.0,2971,115.684734,194.999538,51,402,2.706160
0.85,7,oracle_a1,2971,11.513904,68.653567,554,249,1.676203
0.85,8,static,2983,93.159509,180.007151,0,634,4.250754
0.85,8,nearest,2983,96.973950,192.593661,5,633,4.244050
0.85,8,naive_target_aware,2983,38.856227,157.596087,153,194,1.300704
0.85,8,engagement_g00_d0.0,2983,38.856227,157.596087,153,194,1.300704
0.85,8,engagement_g00_d0.25,2983,44.891761,161.579363,150,193,1.293999
0.85,8,engagement_g00_d0.5,2983,46.889339,161.579363,149,192,1.287295
0.85,8,engagement_g00_d1.0,2983,50.283905,161.579363,149,200,1.340932
0.85,8,engagement_g00_d2.0,2983,57.627388,161.579363,149,204,1.367751
0.85,8,engagement_g00_d5.0,2983,81.331220,173.921561,149,205,1.374455
0.85,8,engagement_g00_d10.0,2983,98.347863,180.007151,61,475,3.184713
0.85,8,engagement_g05_d0.0,2983,40.176754,159.390747,152,197,1.320818
0.85,8,engagement_g05_d0.25,2983,44.847991,161.579363,149,193,1.293999
0.85,8,engagement_g05_d0.5,2983,46.950604,161.579363,149,193,1.293999
0.85,8,engagement_g05_d1.0,2983,50.291674,161.579363,149,200,1.340932
0.85,8,engagement_g05_d2.0,2983,57.635157,161.579363,149,204,1.367751
0.85,8,engagement_g05_d5.0,2983,81.398194,173.921561,148,205,1.374455
0.85,8,engagement_g05_d10.0,2983,99.791075,183.754120,47,427,2.862890
0.85,8,oracle_a1,2983,9.825022,53.640485,557,268,1.796849
0.85,9,static,2932,94.637551,191.396320,0,619,4.222374
0.85,9,nearest,2932,107.868619,192.089223,5,1166,7.953615
0.85,9,naive_target_aware,2932,41.526672,189.481534,150,200,1.364256
0.85,9,engagement_g00_d0.0,2932,41.526672,189.481534,150,200,1.364256
0.85,9,engagement_g00_d0.25,2932,47.367661,192.089223,150,196,1.336971
0.85,9,engagement_g00_d0.5,2932,49.694475,192.089223,150,190,1.296044
0.85,9,engagement_g00_d1.0,2932,53.832057,192.089223,150,193,1.316508
0.85,9,engagement_g00_d2.0,2932,61.585209,192.089223,150,185,1.261937
0.85,9,engagement_g00_d5.0,2932,84.933824,195.736031,150,193,1.316508
0.85,9,engagement_g00_d10.0,2932,99.049539,192.089223,54,329,2.244202
0.85,9,engagement_g05_d0.0,2932,42.558120,191.129766,150,198,1.350614
0.85,9,engagement_g05_d0.25,2932,47.646703,192.089223,150,196,1.336971
0.85,9,engagement_g05_d0.5,2932,49.948696,192.089223,150,191,1.302865
0.85,9,engagement_g05_d1.0,2932,53.984787,192.089223,150,194,1.323329
0.85,9,engagement_g05_d2.0,2932,61.624502,192.089223,150,185,1.261937
0.85,9,engagement_g05_d5.0,2932,85.375012,195.736031,148,193,1.316508
0.85,9,engagement_g05_d10.0,2932,99.073838,191.396320,42,455,3.103683
0.85,9,oracle_a1,2932,10.490822,63.137559,539,200,1.364256
0.85,10,static,3006,105.775921,197.013378,0,645,4.291417
0.85,10,nearest,3006,86.059138,193.383493,5,1201,7.990685
0.85,10,naive_target_aware,3006,42.195069,174.752113,152,180,1.197605
0.85,10,engagement_g00_d0.0,3006,42.195069,174.752113,152,180,1.197605
0.85,10,engagement_g00_d0.25,3006,48.802305,179.693976,150,179,1.190951
0.85,10,engagement_g00_d0.5,3006,50.599253,179.693976,150,178,1.184298
0.85,10,engagement_g00_d1.0,3006,55.529379,179.693976,150,177,1.177645
0.85,10,engagement_g00_d2.0,3006,64.480943,179.693976,150,176,1.170991
0.85,10,engagement_g00_d5.0,3006,90.528258,193.932007,149,180,1.197605
0.85,10,engagement_g00_d10.0,3006,102.361503,193.932007,57,275,1.829674
0.85,10,engagement_g05_d0.0,3006,43.476691,177.238168,150,180,1.197605
0.85,10,engagement_g05_d0.25,3006,48.855212,179.693976,150,178,1.184298
0.85,10,engagement_g05_d0.5,3006,50.652161,179.693976,150,176,1.170991
0.85,10,engagement_g05_d1.0,3006,55.544248,179.693976,150,177,1.177645
0.85,10,engagement_g05_d2.0,3006,64.480943,179.693976,150,176,1.170991
0.85,10,engagement_g05_d5.0,3006,90.528258,193.932007,149,180,1.197605
0.85,10,engagement_g05_d10.0,3006,105.463173,193.932007,51,389,2.588157
0.85,10,oracle_a1,3006,10.288370,56.483967,545,253,1.683300
0.85,11,static,3002,103.092487,190.037967,0,1161,7.734843
0.85,11,nearest,3002,101.712789,195.914883,39,604,4.023984
0.85,11,naive_target_aware,3002,44.752829,187.498037,151,187,1.245836
0.85,11,engagement_g00_d0.0,3002,44.752829,187.498037,151,187,1.245836
0.85,11,engagement_g00_d0.25,3002,51.493803,190.037967,151,186,1.239174
0.85,11,engagement_g00_d0.5,3002,53.607115,190.037967,151,185,1.232512
0.85,11,engagement_g00_d1.0,3002,58.135602,190.037967,151,180,1.199201
0.85,11,engagement_g00_d2.0,3002,67.646651,195.195911,150,185,1.232512
0.85,11,engagement_g00_d5.0,3002,95.439025,195.195911,149,179,1.192538
0.85,11,engagement_g00_d10.0,3002,101.498878,195.914883,56,373,2.485010
0.85,11,engagement_g05_d0.0,3002,45.874352,187.660757,151,186,1.239174
0.85,11,engagement_g05_d0.25,3002,51.646681,190.037967,151,185,1.232512
0.85,11,engagement_g05_d0.5,3002,53.795553,190.037967,150,184,1.225849
0.85,11,engagement_g05_d1.0,3002,58.207332,190.037967,150,180,1.199201
0.85,11,engagement_g05_d2.0,3002,67.646651,195.195911,150,185,1.232512
0.85,11,engagement_g05_d5.0,3002,95.439025,195.195911,149,179,1.192538
0.85,11,engagement_g05_d10.0,3002,100.879960,195.914883,46,329,2.191872
0.85,11,oracle_a1,3002,10.185888,60.752079,634,223,1.485676
0.85,12,static,3026,98.875820,184.968476,0,623,4.117647
0.85,12,nearest,3026,113.138327,189.520886,5,1221,8.070059
0.85,12,naive_target_aware,3026,42.295731,169.034157,152,209,1.381362
0.85,12,engagement_g00_d0.0,3026,42.295731,169.034157,152,209,1.381362
0.85,12,engagement_g00_d0.25,3026,48.894739,178.649194,150,214,1.414408
0.85,12,engagement_g00_d0.5,3026,51.189523,181.457261,150,218,1.440846
0.85,12,engagement_g00_d1.0,3026,55.683080,182.837802,150,220,1.454065
0.85,12,engagement_g00_d2.0,3026,65.359578,182.837802,150,213,1.407799
0.85,12,engagement_g00_d5.0,3026,91.129839,184.968476,148,216,1.427627
0.85,12,engagement_g00_d10.0,3026,95.574175,182.837802,63,312,2.062128
0.85,12,engagement_g05_d0.0,3026,43.102756,169.752573,152,205,1.354924
0.85,12,engagement_g05_d0.25,3026,48.999062,178.649194,150,214,1.414408
0.85,12,engagement_g05_d0.5,3026,51.300384,181.457261,150,218,1.440846
0.85,12,engagement_g05_d1.0,3026,55.738079,182.837802,150,220,1.454065
0.85,12,engagement_g05_d2.0,3026,65.359578,182.837802,150,213,1.407799
0.85,12,engagement_g05_d5.0,3026,91.139095,184.968476,148,215,1.421018
0.85,12,engagement_g05_d10.0,3026,94.397096,184.835031,50,496,3.278255
0.85,12,oracle_a1,3026,9.489922,51.226505,679,291,1.923331
0.85,13,static,3014,95.697893,193.946928,0,615,4.080956
0.85,13,nearest,3014,102.990172,194.096605,23,867,5.753152
0.85,13,naive_target_aware,3014,39.584210,166.232299,153,179,1.187790
0.85,13,engagement_g00_d0.0,3014,39.584210,166.232299,153,179,1.187790
0.85,13,engagement_g00_d0.25,3014,45.249656,172.803827,150,180,1.194426
0.85,13,engagement_g00_d0.5,3014,46.788976,172.803827,150,177,1.174519
0.85,13,engagement_g00_d1.0,3014,50.806942,172.803827,150,175,1.161248
0.85,13,engagement_g00_d2.0,3014,59.394273,172.803827,150,179,1.187790
0.85,13,engagement_g00_d5.0,3014,81.407126,183.428199,148,186,1.234240
0.85,13,engagement_g00_d10.0,3014,93.965648,179.284023,57,330,2.189781
0.85,13,engagement_g05_d0.0,3014,40.669446,169.892357,153,177,1.174519
0.85,13,engagement_g05_d0.25,3014,45.470800,172.803827,150,179,1.187790
0.85,13,engagement_g05_d0.5,3014,47.016589,172.803827,150,177,1.174519
0.85,13,engagement_g05_d1.0,3014,50.990250,172.803827,150,175,1.161248
0.85,13,engagement_g05_d2.0,3014,59.432561,172.803827,150,179,1.187790
0.85,13,engagement_g05_d5.0,3014,81.407126,183.428199,148,186,1.234240
0.85,13,engagement_g05_d10.0,3014,97.530407,190.447507,43,382,2.534837
0.85,13,oracle_a1,3014,9.711165,53.721911,640,215,1.426676
0.85,14,static,3050,103.353113,197.316406,0,633,4.150820
0.85,14,nearest,3050,112.739850,194.444810,5,1208,7.921311
0.85,14,naive_target_aware,3050,41.777575,175.019182,151,189,1.239344
0.85,14,engagement_g00_d0.0,3050,41.777575,175.019182,151,189,1.239344
0.85,14,engagement_g00_d0.25,3050,48.184753,175.588120,150,192,1.259016
0.85,14,engagement_g00_d0.5,3050,50.132521,175.588120,150,186,1.219672
0.85,14,engagement_g00_d1.0,3050,53.744923,177.955835,150,184,1.206557
0.85,14,engagement_g00_d2.0,3050,61.464532,181.039467,150,187,1.226230
0.85,14,engagement_g00_d5.0,3050,86.549522,184.698904,150,191,1.252459
0.85,14,engagement_g00_d10.0,3050,114.100295,196.004517,59,311,2.039344
0.85,14,engagement_g05_d0.0,3050,42.733873,175.588120,151,186,1.219672
0.85,14,engagement_g05_d0.25,3050,48.310093,175.588120,150,190,1.245902
0.85,14,engagement_g05_d0.5,3050,50.244941,175.588120,150,185,1.213115
0.85,14,engagement_g05_d1.0,3050,53.857344,177.955835,150,183,1.200000
0.85,14,engagement_g05_d2.0,3050,61.508212,181.039467,150,187,1.226230
0.85,14,engagement_g05_d5.0,3050,86.286479,181.039467,149,191,1.252459
0.85,14,engagement_g05_d10.0,3050,111.388864,189.461261,48,314,2.059016
0.85,14,oracle_a1,3050,10.749257,64.792871,603,207,1.357377
0.85,15,static,3022,100.941609,194.911133,0,1227,8.120450
0.85,15,nearest,3022,110.051886,194.911133,4,629,4.162806
0.85,15,naive_target_aware,3022,42.232679,173.575654,150,222,1.469226
0.85,15,engagement_g00_d0.0,3022,42.232679,173.575654,150,222,1.469226
0.85,15,engagement_g00_d0.25,3022,48.151960,186.792732,150,214,1.416281
0.85,15,engagement_g00_d0.5,3022,50.143364,186.809854,150,214,1.416281
0.85,15,engagement_g00_d1.0,3022,53.931979,186.809854,150,218,1.442753
0.85,15,engagement_g00_d2.0,3022,63.000574,186.809854,150,213,1.409662
0.85,15,engagement_g00_d5.0,3022,88.767277,194.739933,150,227,1.502316
