rate_per_entity,dominant_peer_ratio,rho,rho_eff,s,s0,s0_static,s0_nearest,m,best_follower,best_baseline,mean_diff_combined_s,bootstrap_ci95_low,bootstrap_ci95_high,verdict
0.5,0.85,4.250000,0.765370,0.168056,0.048897,0.050743,0.048897,0.778444,follow_w10_d0.0,nearest,3.684910,0.630491,6.853466,follower_loses
0.5,0.4,2.000000,0.021826,0.053056,0.050151,0.049364,0.050151,0.665556,follow_w10_d2.0,nearest,10.648133,8.539059,12.792772,follower_loses
0.5,0.3,1.500000,0.016790,0.052294,0.050022,0.048383,0.050022,0.676444,follow_w10_d2.0,nearest,9.984980,7.829363,12.164061,follower_loses
0.5,0.25,1.250000,-0.003232,0.050614,0.051050,0.052433,0.051050,0.674000,follow_w10_d2.0,nearest,9.790004,7.715722,11.951282,follower_loses
2.0,0.85,17.000000,11.132445,0.613510,0.051198,0.050764,0.051198,1.010222,follow_w10_d0.0,nearest,-156.678651,-165.220084,-148.056333,follower_wins
2.0,0.4,8.000000,2.335181,0.237271,0.050612,0.049326,0.050612,1.598667,follow_w10_d0.25,nearest,-31.407391,-38.485541,-24.334821,follower_wins
2.0,0.3,6.000000,1.128851,0.142147,0.050371,0.049002,0.050371,1.626000,follow_w10_d1.0,nearest,-3.023190,-10.579676,4.505133,not_significant
2.0,0.25,5.000000,0.670901,0.092011,0.050386,0.050047,0.050386,1.240889,follow_w10_d2.0,nearest,7.773359,0.711125,14.910632,follower_loses
8.0,0.85,68.000000,58.672464,0.790436,0.050348,0.049872,0.050348,1.009111,follow_w10_d0.0,nearest,-899.124846,-930.393024,-868.277183,follower_wins
8.0,0.4,32.000000,17.769393,0.311175,0.050410,0.050115,0.050410,1.174000,follow_w10_d1.0,nearest,-299.611416,-327.169207,-272.630207,follower_wins
8.0,0.3,24.000000,8.800194,0.210433,0.049927,0.049281,0.049927,1.459111,follow_w10_d1.0,nearest,-170.037732,-197.955580,-142.590253,follower_wins
8.0,0.25,20.000000,5.246517,0.157576,0.050008,0.049736,0.050008,1.640222,follow_w10_d1.0,nearest,-99.798382,-127.647579,-72.716775,follower_wins
