rate_per_entity,dominant_peer_ratio,policy_id,n_seeds,combined_s_alpha1_mean,combined_s_alpha1_std,mean_latency_ms_mean,migration_count_mean
0.5,0.85,static,30,76.658459,5.379166,101.373785,0.000000
0.5,0.85,nearest,30,76.619142,7.565948,99.951441,9.200000
0.5,0.85,follow_w10_d0.0,30,80.304052,5.700978,89.953769,116.766667
0.5,0.85,follow_w10_d0.25,30,85.041069,5.954937,97.393144,107.966667
0.5,0.85,follow_w10_d1.0,30,86.386082,6.074244,99.640990,104.533333
0.5,0.85,follow_w10_d2.0,30,87.837528,6.371019,102.049828,100.933333
0.5,0.4,static,30,77.028444,4.920623,101.870492,0.000000
0.5,0.4,nearest,30,76.594026,7.102233,99.910726,9.200000
0.5,0.4,follow_w10_d0.0,30,90.647323,4.073137,97.201221,162.666667
0.5,0.4,follow_w10_d0.25,30,87.837036,4.205913,99.661699,118.266667
0.5,0.4,follow_w10_d1.0,30,87.531736,4.224285,100.525348,108.966667
0.5,0.4,follow_w10_d2.0,30,87.242159,4.524120,101.440943,99.833333
0.5,0.3,static,30,77.057715,5.260286,101.893176,0.000000
0.5,0.3,nearest,30,76.950184,6.995721,100.373778,9.200000
0.5,0.3,follow_w10_d0.0,30,93.968359,4.846928,98.951292,180.666667
0.5,0.3,follow_w10_d0.25,30,88.688724,4.441147,100.234557,123.366667
0.5,0.3,follow_w10_d1.0,30,87.866435,4.397783,100.598291,112.866667
0.5,0.3,follow_w10_d2.0,30,86.935164,4.078063,100.974271,101.466667
0.5,0.25,static,30,76.758918,4.947248,101.500081,0.000000
0.5,0.25,nearest,30,76.424076,6.635333,99.691999,9.200000
0.5,0.25,follow_w10_d0.0,30,94.880898,5.052555,99.133598,190.400000
0.5,0.25,follow_w10_d0.25,30,88.574676,4.596602,99.753416,125.266667
0.5,0.25,follow_w10_d1.0,30,87.675298,4.374546,100.261334,113.566667
0.5,0.25,follow_w10_d2.0,30,86.214080,4.081612,100.096564,101.100000
2.0,0.85,static,30,305.621663,20.015141,101.807145,0.000000
2.0,0.85,nearest,30,302.175613,22.989841,100.207179,12.566667
2.0,0.85,follow_w10_d0.0,30,145.496962,8.715799,43.071775,151.533333
2.0,0.85,follow_w10_d0.25,30,165.769877,10.498972,49.875040,150.033333
2.0,0.85,follow_w10_d1.0,30,185.611080,12.042225,56.489911,149.866667
2.0,0.85,follow_w10_d2.0,30,212.688340,14.289633,65.517245,149.700000
2.0,0.4,static,30,305.542437,19.037455,101.782806,0.000000
2.0,0.4,nearest,30,302.201196,21.404809,100.215885,12.566667
2.0,0.4,follow_w10_d0.0,30,277.184610,10.644878,79.078277,382.466667
2.0,0.4,follow_w10_d0.25,30,270.793805,11.619743,81.739509,239.800000
2.0,0.4,follow_w10_d1.0,30,274.108462,12.112176,84.365295,196.066667
2.0,0.4,follow_w10_d2.0,30,282.676868,12.474569,88.285716,165.500000
2.0,0.3,static,30,305.950699,19.570568,101.919641,0.000000
2.0,0.3,nearest,30,303.247660,21.584807,100.561379,12.566667
2.0,0.3,follow_w10_d0.0,30,323.507052,13.342457,88.285600,558.766667
2.0,0.3,follow_w10_d0.25,30,303.049046,12.777195,89.608453,323.933333
2.0,0.3,follow_w10_d1.0,30,300.224470,12.703714,91.478018,243.900000
2.0,0.3,follow_w10_d2.0,30,302.518644,12.367258,94.447703,179.533333
2.0,0.25,static,30,304.957054,19.028307,101.590844,0.000000
2.0,0.25,nearest,30,302.965755,21.739671,100.466634,12.566667
2.0,0.25,follow_w10_d0.0,30,346.537035,14.014085,92.735562,657.366667
2.0,0.25,follow_w10_d0.25,30,319.279970,13.247358,93.503967,370.866667
2.0,0.25,follow_w10_d1.0,30,311.875080,12.456843,94.661351,266.466667
2.0,0.25,follow_w10_d2.0,30,310.739114,12.096093,97.049215,186.133333
8.0,0.85,static,30,1223.299953,83.599694,101.941184,0.000000
8.0,0.85,nearest,30,1203.131109,92.743960,100.139309,12.833333
8.0,0.85,follow_w10_d0.0,30,304.006263,13.325509,23.982300,151.366667
