dominant_peer_ratio,window_size,dwell_time_s,n_seeds,combined_s_alpha1_mean,combined_s_alpha1_std,beats_best_baseline
0.85,5,0.0,30,114.673164,6.039281,follower_wins
0.85,5,0.25,30,133.394054,7.663736,follower_wins
0.85,5,1.0,30,152.941120,9.571330,follower_wins
0.85,5,2.0,30,180.291778,12.248053,follower_wins
0.85,10,0.0,30,145.496962,8.715799,follower_wins
0.85,10,0.25,30,165.769877,10.498972,follower_wins
0.85,10,1.0,30,185.611080,12.042225,follower_wins
0.85,10,2.0,30,212.688340,14.289633,follower_wins
0.85,20,0.0,30,210.089019,14.464299,follower_wins
0.85,20,0.25,30,229.712836,15.971640,follower_wins
0.85,20,1.0,30,249.293644,17.545589,follower_wins
0.85,20,2.0,30,273.756345,19.277093,follower_wins
0.85,30,0.0,30,267.372025,19.277951,follower_wins
0.85,30,0.25,30,283.323367,20.305865,follower_wins
0.85,30,1.0,30,297.996636,21.333441,not_significant
0.85,30,2.0,30,313.169589,21.581768,not_significant
0.4,5,0.0,30,325.600804,13.427100,follower_loses
0.4,5,0.25,30,289.548165,11.057860,follower_wins
0.4,5,1.0,30,281.208505,11.699574,follower_wins
0.4,5,2.0,30,285.430434,12.605431,follower_wins
0.4,10,0.0,30,277.184610,10.644878,follower_wins
0.4,10,0.25,30,270.793805,11.619743,follower_wins
0.4,10,1.0,30,274.108462,12.112176,follower_wins
0.4,10,2.0,30,282.676868,12.474569,follower_wins
0.4,20,0.0,30,279.791925,12.313915,follower_wins
0.4,20,0.25,30,283.813728,12.872515,follower_wins
0.4,20,1.0,30,290.988904,13.504161,follower_wins
0.4,20,2.0,30,300.124466,14.473757,not_significant
0.4,30,0.0,30,299.322446,13.937876,not_significant
0.4,30,0.25,30,302.589492,14.307231,not_significant
0.4,30,1.0,30,308.042380,14.866351,not_significant
0.4,30,2.0,30,313.690688,14.870540,follower_loses
0.3,5,0.0,30,373.373288,14.546667,follower_loses
0.3,5,0.25,30,325.267119,12.190523,follower_loses
0.3,5,1.0,30,307.553051,11.083205,not_significant
0.3,5,2.0,30,301.708716,12.699009,not_significant
0.3,10,0.0,30,323.507052,13.342457,follower_loses
0.3,10,0.25,30,303.049046,12.777195,not_significant
0.3,10,1.0,30,300.224470,12.703714,not_significant
0.3,10,2.0,30,302.518644,12.367258,not_significant
0.3,20,0.0,30,305.532026,12.748188,not_significant
0.3,20,0.25,30,301.670049,12.564043,not_significant
0.3,20,1.0,30,304.365306,12.810586,not_significant
0.3,20,2.0,30,308.653366,13.090428,not_significant
0.3,30,0.0,30,311.708901,13.145747,follower_loses
0.3,30,0.25,30,309.145753,13.211165,not_significant
0.3,30,1.0,30,311.109062,13.536698,follower_loses
0.3,30,2.0,30,314.019766,13.929721,follower_loses
0.25,5,0.0,30,391.703140,16.849872,follower_loses
0.25,5,0.25,30,338.800485,12.655404,follower_loses
0.25,5,1.0,30,319.753875,11.640922,follower_loses
0.25,5,2.0,30,310.950949,13.924171,follower_loses
0.25,10,0.0,30,346.537035,14.014085,follower_loses
0.25,10,0.25,30,319.279970,13.247358,follower_loses
0.25,10,1.0,30,311.875080,12.456843,follower_loses
0.25,10,2.0,30,310.739114,12.096093,follower_loses
0.25,20,0.0,30,321.388433,12.864742,follower_loses
0.25,20,0.25,30,312.497795,12.041189,follower_loses
0.25,20,1.0,30,311.208154,11.554529,follower_loses
0.25,20,2.0,30,312.829183,11.924364,follower_loses
0.25,30,0.0,30,319.347782,13.216700,follower_loses
0.25,30,0.25,30,314.226575,12.621236,follower_loses
0.25,30,1.0,30,314.189743,12.245297,follower_loses
0.25,30,2.0,30,315.504440,12.682244,follower_loses
