sweep,knob_name,knob_value,policy_id,n_seeds,total_served_ms_mean,total_migration_rtt_ms_mean,mean_migration_rtt_ms_mean,migration_count_mean,migration_bytes_total_mean,mean_migration_bytes_per_migration_mean,combined_ms_alpha0.5_mean,combined_ms_alpha0.5_std,combined_ms_alpha1_mean,combined_ms_alpha1_std,combined_ms_alpha2_mean,combined_ms_alpha2_std
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d0.0,30,278398.687298,68138.347886,103.705076,657.366667,2692573.866667,4096.000000,312467.861241,12375.818876,346537.035184,14014.084593,414675.383069,17465.476412
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d0.25,30,280706.829347,38573.140725,103.943024,370.866667,1519069.866667,4096.000000,299993.399710,12113.964775,319279.970072,13247.357951,357853.110797,15631.735803
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d0.5,30,281566.798670,34151.233707,103.818269,328.733333,1346491.733333,4096.000000,298642.415523,11858.372671,315718.032376,12821.792998,349869.266083,14865.670068
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d1.0,30,284183.145992,27691.934112,103.884915,266.466667,1091447.466667,4096.000000,298029.113048,11757.671581,311875.080104,12456.843422,339567.014215,13935.325646
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d10.0,30,304181.061318,959.103566,104.446329,9.166667,37546.666667,4096.000000,304660.613101,15161.444815,305140.164884,15159.483219,306099.268450,15160.524248
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d2.0,30,291336.907320,19402.206892,104.222754,186.133333,762402.133333,4096.000000,301038.010766,11593.218252,310739.114212,12096.093308,330141.321105,13153.763387
ambiguity,dominant_peer_ratio,0.25,engagement_g00_d5.0,30,302979.570828,7550.313961,105.411601,71.766667,293956.266667,4096.000000,306754.727809,13990.274699,310529.884790,14223.343644,318080.198751,14706.532479
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d0.0,30,301574.605023,4788.655509,102.494833,46.800000,191692.800000,4096.000000,303968.932778,12549.444296,306363.260532,12632.126187,311151.916042,12823.185318
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d0.25,30,301893.691408,4262.216825,101.767081,41.933333,171758.933333,4096.000000,304024.799820,13229.602902,306155.908233,13319.306455,310418.125057,13517.762043
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d0.5,30,302111.136417,4171.070561,102.046774,40.966667,167799.466667,4096.000000,304196.671698,13027.702759,306282.206979,13094.311131,310453.277540,13246.798997
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d1.0,30,302101.073050,4026.449745,102.049127,39.566667,162065.066667,4096.000000,304114.297922,13390.710827,306127.522795,13473.887302,310153.972540,13657.004784
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d10.0,30,304141.985598,57.865203,90.999256,0.633333,2594.133333,4096.000000,304170.918200,19113.673561,304199.850801,19122.612489,304257.716005,19140.706833
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d2.0,30,304189.028848,3541.185938,101.519714,35.000000,143360.000000,4096.000000,305959.621817,13107.893785,307730.214786,13198.140444,311271.400724,13393.929879
ambiguity,dominant_peer_ratio,0.25,engagement_g05_d5.0,30,304919.562180,1456.400202,106.628014,13.833333,56661.333333,4096.000000,305647.762281,16385.163549,306375.962382,16405.703678,307832.362584,16455.819962
ambiguity,dominant_peer_ratio,0.25,naive_target_aware,30,278398.687298,68138.347886,103.705076,657.366667,2692573.866667,4096.000000,312467.861241,12375.818876,346537.035184,14014.084593,414675.383069,17465.476412
ambiguity,dominant_peer_ratio,0.25,nearest,30,301650.624537,1315.130190,99.477918,12.566667,51473.066667,4096.000000,302308.189632,21632.886179,302965.754727,21739.670915,304280.884917,22033.535847
ambiguity,dominant_peer_ratio,0.25,oracle_a0.5,30,48544.269884,91869.751626,39.662614,2317.333333,9491797.333333,4096.000000,94479.145697,6125.364363,140414.021510,10669.917485,232283.773137,20100.126204
ambiguity,dominant_peer_ratio,0.25,oracle_a1,30,81712.711960,42158.629286,27.501666,1539.133333,6304290.133333,4096.000000,102792.026603,7237.416666,123871.341246,8878.193336,166029.970532,12539.404619
ambiguity,dominant_peer_ratio,0.25,oracle_a2,30,110287.694406,21477.914838,21.771279,997.100000,4084121.600000,4096.000000,121026.651825,9403.159851,131765.609244,9804.575137,153243.524083,10823.246058
ambiguity,dominant_peer_ratio,0.25,static,30,304957.054281,0.000000,,0.000000,0.000000,,304957.054281,19028.306812,304957.054281,19028.306812,304957.054281,19028.306812
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d0.0,30,265033.622702,58473.429750,104.594244,558.766667,2288708.266667,4096.000000,294270.337577,11584.219774,323507.052452,13342.457306,381980.482202,17209.178020
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d0.25,30,269006.869440,34042.176739,105.061764,323.933333,1326830.933333,4096.000000,286027.957810,11764.581007,303049.046179,12777.194715,337091.222919,14883.759777
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d0.5,30,270837.668883,30430.047280,104.759811,290.366667,1189341.866667,4096.000000,286052.692523,11399.353162,301267.716163,12286.202595,331697.763443,14146.608831
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d1.0,30,274619.421396,25605.049025,104.873776,243.900000,999014.400000,4096.000000,287421.945909,11853.897410,300224.470421,12703.713640,325829.519446,14500.906193
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d10.0,30,305064.828881,1502.664639,103.744595,14.666667,60074.666667,4096.000000,305816.161201,14729.775508,306567.493520,14706.415453,308070.158160,14663.845404
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d2.0,30,283534.439338,18984.204454,105.732991,179.533333,735368.533333,4096.000000,293026.541565,11905.138435,302518.643792,12367.258010,321502.848247,13360.847679
