sweep,knob_name,knob_value,seed,policy_id,total_requests,migration_count,total_served_ms,total_migration_rtt_ms,mean_migration_rtt_ms,migration_bytes_total,mean_migration_bytes_per_migration,combined_ms_alpha0.5,combined_ms_alpha1,combined_ms_alpha2
ambiguity,dominant_peer_ratio,0.85,1,static,3072,0,283362.175406,0.000000,,0,,283362.175406,283362.175406,283362.175406
ambiguity,dominant_peer_ratio,0.85,1,nearest,3072,25,292737.214624,4199.591890,167.983676,102400,4096.000000,294837.010569,296936.806514,301136.398404
ambiguity,dominant_peer_ratio,0.85,1,naive_target_aware,3072,150,113852.626659,12731.592007,84.877280,614400,4096.000000,120218.422663,126584.218666,139315.810673
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d0.0,3072,150,113852.626659,12731.592007,84.877280,614400,4096.000000,120218.422663,126584.218666,139315.810673
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d0.25,3072,150,129904.751797,12731.592007,84.877280,614400,4096.000000,136270.547801,142636.343804,155367.935811
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d0.5,3072,150,137270.666323,12731.592007,84.877280,614400,4096.000000,143636.462327,150002.258330,162733.850337
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d1.0,3072,150,148913.100151,12731.592007,84.877280,614400,4096.000000,155278.896155,161644.692158,174376.284165
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d2.0,3072,150,171882.673580,12731.592007,84.877280,614400,4096.000000,178248.469584,184614.265587,197345.857594
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d5.0,3072,150,234597.793019,12731.592007,84.877280,614400,4096.000000,240963.589022,247329.385026,260060.977033
ambiguity,dominant_peer_ratio,0.85,1,engagement_g00_d10.0,3072,62,306011.999838,5874.308457,94.746911,253952,4096.000000,308949.154066,311886.308295,317760.616752
ambiguity,dominant_peer_ratio,0.85,1,engagement_g05_d0.0,3072,149,115758.491777,12549.151671,84.222494,610304,4096.000000,122033.067613,128307.643448,140856.795119
ambiguity,dominant_peer_ratio,0.85,1,engagement_g05_d0.25,3072,149,129851.008134,12549.151671,84.222494,610304,4096.000000,136125.583970,142400.159805,154949.311476
