seed,policy_id,total_requests,mean_latency_ms,migration_count,max_requests_per_peer,request_imbalance
1,static,358,50.904181,0,122,3.407821
1,nearest_h0,358,74.488897,3,121,3.379888
1,interaction_aware_w10,358,34.430682,4,123,3.435754
1,interaction_aware_w50,358,34.430682,4,123,3.435754
2,static,373,95.131955,0,267,7.158177
2,nearest_h0,373,104.845825,3,265,7.104558
2,interaction_aware_w10,373,22.689058,5,133,3.565684
2,interaction_aware_w50,373,22.689058,5,133,3.565684
3,static,329,119.921070,0,119,3.617021
3,nearest_h0,329,105.042896,3,118,3.586626
3,interaction_aware_w10,329,30.209412,4,117,3.556231
3,interaction_aware_w50,329,30.209412,4,117,3.556231
4,static,348,117.401746,0,223,6.408046
4,nearest_h0,348,98.269119,3,124,3.563218
4,interaction_aware_w10,348,24.035343,4,124,3.563218
4,interaction_aware_w50,348,24.035343,4,124,3.563218
5,static,376,160.963286,0,136,3.617021
5,nearest_h0,376,155.746673,2,251,6.675532
5,interaction_aware_w10,376,29.847794,4,133,3.537234
5,interaction_aware_w50,376,29.847794,4,133,3.537234
6,static,356,104.673571,0,121,3.398876
6,nearest_h0,356,85.549210,3,233,6.544944
6,interaction_aware_w10,356,31.482524,4,119,3.342697
6,interaction_aware_w50,356,31.482524,4,119,3.342697
7,static,375,118.866464,0,133,3.546667
7,nearest_h0,375,108.992468,3,132,3.520000
7,interaction_aware_w10,375,34.297214,4,132,3.520000
7,interaction_aware_w50,375,34.297214,4,132,3.520000
8,static,378,109.432599,0,137,3.624339
8,nearest_h0,378,90.265125,3,136,3.597884
8,interaction_aware_w10,378,36.851624,8,139,3.677249
8,interaction_aware_w50,378,36.427451,3,136,3.597884
9,static,366,91.077508,0,134,3.661202
9,nearest_h0,366,75.222935,2,252,6.885246
9,interaction_aware_w10,366,34.896267,4,134,3.661202
9,interaction_aware_w50,366,34.896267,4,134,3.661202
10,static,369,92.606590,0,131,3.550136
10,nearest_h0,369,95.966900,3,130,3.523035
10,interaction_aware_w10,369,28.650404,6,127,3.441734
10,interaction_aware_w50,369,28.650404,6,127,3.441734
11,static,367,88.454322,0,127,3.460490
11,nearest_h0,367,107.857744,3,126,3.433243
11,interaction_aware_w10,367,27.905975,4,126,3.433243
11,interaction_aware_w50,367,27.905975,4,126,3.433243
12,static,388,103.583646,0,140,3.608247
12,nearest_h0,388,96.117824,3,140,3.608247
12,interaction_aware_w10,388,31.769628,7,137,3.530928
