coupling,seed,threshold,fraction_within
on,1,0.3,0.053711
on,1,1.0,0.175781
on,1,3.0,0.452148
on,1,5.0,0.777995
on,1,8.0,0.789714
on,1,15.0,0.812826
on,1,30.0,0.835612
on,1,50.0,0.870768
on,1,75.0,0.920898
on,1,100.0,0.957357
on,1,150.0,0.994141
on,1,200.0,1.000000
on,2,0.3,0.073472
on,2,1.0,0.177503
on,2,3.0,0.468140
on,2,5.0,0.809818
on,2,8.0,0.813069
on,2,15.0,0.829974
on,2,30.0,0.856957
on,2,50.0,0.898570
on,2,75.0,0.947659
on,2,100.0,0.977568
on,2,150.0,0.997724
on,2,200.0,1.000000
on,3,0.3,0.039759
on,3,1.0,0.161711
on,3,3.0,0.476779
on,3,5.0,0.788507
on,3,8.0,0.793852
on,3,15.0,0.811560
on,3,30.0,0.840962
on,3,50.0,0.885733
on,3,75.0,0.924825
on,3,100.0,0.971266
on,3,150.0,0.998329
on,3,200.0,1.000000
on,4,0.3,0.046488
on,4,1.0,0.154394
on,4,3.0,0.478113
on,4,5.0,0.756362
on,4,8.0,0.761792
on,4,15.0,0.773668
on,4,30.0,0.826264
on,4,50.0,0.849678
on,4,75.0,0.903291
on,4,100.0,0.935528
on,4,150.0,0.998303
on,4,200.0,1.000000
on,5,0.3,0.060453
on,5,1.0,0.149612
on,5,3.0,0.423506
on,5,5.0,0.776427
on,5,8.0,0.781155
on,5,15.0,0.795002
on,5,30.0,0.825735
on,5,50.0,0.870314
on,5,75.0,0.912867
on,5,100.0,0.952381
on,5,150.0,0.995947
on,5,200.0,1.000000
off,1,0.3,0.000000
off,1,1.0,0.000651
off,1,3.0,0.001302
off,1,5.0,0.002930
off,1,8.0,0.005534
off,1,15.0,0.029948
off,1,30.0,0.105794
off,1,50.0,0.238932
off,1,75.0,0.409505
off,1,100.0,0.630859
off,1,150.0,0.962565
off,1,200.0,1.000000
off,2,0.3,0.000000
off,2,1.0,0.000000
off,2,3.0,0.001300
off,2,5.0,0.001951
off,2,8.0,0.002926
off,2,15.0,0.033160
off,2,30.0,0.089402
off,2,50.0,0.242198
off,2,75.0,0.477893
off,2,100.0,0.697984
off,2,150.0,0.990897
off,2,200.0,1.000000
off,3,0.3,0.000000
off,3,1.0,0.000000
off,3,3.0,0.001002
off,3,5.0,0.003675
off,3,8.0,0.007350
off,3,15.0,0.023054
off,3,30.0,0.121283
off,3,50.0,0.297361
off,3,75.0,0.523555
off,3,100.0,0.706649
off,3,150.0,0.983294
off,3,200.0,1.000000
off,4,0.3,0.000000
off,4,1.0,0.000000
off,4,3.0,0.002375
off,4,5.0,0.004751
off,4,8.0,0.008483
off,4,15.0,0.033254
off,4,30.0,0.088904
off,4,50.0,0.194435
off,4,75.0,0.348829
off,4,100.0,0.565321
off,4,150.0,0.959620
off,4,200.0,1.000000
off,5,0.3,0.000000
off,5,1.0,0.000000
off,5,3.0,0.000000
off,5,5.0,0.006754
off,5,8.0,0.009794
off,5,15.0,0.022290
off,5,30.0,0.095914
off,5,50.0,0.234380
off,5,75.0,0.431611
off,5,100.0,0.676461
off,5,150.0,0.991557
off,5,200.0,1.000000
