relevant_range,policy_id,reason,count,fraction
0.3,engagement_g05_d0.0,CLAIM_OWNERLESS,56,0.003721
0.3,engagement_g05_d0.0,KEEP_OWNERLESS_NO_CANDIDATE,14040,0.932952
0.3,engagement_g05_d0.0,KEEP_SAME_TARGET,451,0.029969
0.3,engagement_g05_d0.0,KEEP_TARGET_OUT_OF_RANGE,426,0.028308
0.3,engagement_g05_d0.0,RELEASE_OUT_OF_RANGE,76,0.005050
0.3,engagement_g05_d2.0,CLAIM_OWNERLESS,56,0.003721
0.3,engagement_g05_d2.0,KEEP_OWNERLESS_NO_CANDIDATE,14040,0.932952
0.3,engagement_g05_d2.0,KEEP_SAME_TARGET,451,0.029969
0.3,engagement_g05_d2.0,KEEP_TARGET_OUT_OF_RANGE,426,0.028308
0.3,engagement_g05_d2.0,RELEASE_OUT_OF_RANGE,76,0.005050
3.0,engagement_g05_d0.0,CLAIM_OWNERLESS,519,0.034487
3.0,engagement_g05_d0.0,KEEP_LOW_ENGAGEMENT,20,0.001329
3.0,engagement_g05_d0.0,KEEP_OWNERLESS_NO_CANDIDATE,6648,0.441757
3.0,engagement_g05_d0.0,KEEP_SAME_TARGET,3800,0.252508
3.0,engagement_g05_d0.0,KEEP_TARGET_OUT_OF_RANGE,3619,0.240481
3.0,engagement_g05_d0.0,RELEASE_OUT_OF_RANGE,443,0.029437
3.0,engagement_g05_d2.0,CLAIM_OWNERLESS,519,0.034487
3.0,engagement_g05_d2.0,KEEP_LOW_ENGAGEMENT,20,0.001329
3.0,engagement_g05_d2.0,KEEP_OWNERLESS_NO_CANDIDATE,6648,0.441757
3.0,engagement_g05_d2.0,KEEP_SAME_TARGET,3800,0.252508
3.0,engagement_g05_d2.0,KEEP_TARGET_OUT_OF_RANGE,3619,0.240481
3.0,engagement_g05_d2.0,RELEASE_OUT_OF_RANGE,443,0.029437
8.0,engagement_g05_d0.0,CLAIM_OWNERLESS,855,0.056814
8.0,engagement_g05_d0.0,KEEP_LOW_ENGAGEMENT,151,0.010034
8.0,engagement_g05_d0.0,KEEP_OWNERLESS_NO_CANDIDATE,857,0.056947
8.0,engagement_g05_d0.0,KEEP_SAME_TARGET,6613,0.439431
8.0,engagement_g05_d0.0,KEEP_TARGET_OUT_OF_RANGE,6145,0.408333
8.0,engagement_g05_d0.0,RELEASE_OUT_OF_RANGE,427,0.028374
8.0,engagement_g05_d0.0,TRANSFER_TARGET_CHANGE,1,0.000066
