relevant_range,policy_id,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,migration_count_mean,migration_count_std,max_requests_per_peer_mean,max_requests_per_peer_std,request_imbalance_mean,request_imbalance_std
0.3,engagement_g05_d0.0,97.994113,5.336153,190.105252,4.731730,11.200000,3.033150,617.600000,53.882279,4.105153,0.360843
0.3,engagement_g05_d2.0,97.994113,5.336153,190.105252,4.731730,11.200000,3.033150,617.600000,53.882279,4.105153,0.360843
0.3,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
0.3,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
0.3,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
0.3,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
3.0,engagement_g05_d0.0,92.601619,2.981267,190.103464,2.046566,101.600000,3.361547,279.200000,44.578021,1.852097,0.267490
3.0,engagement_g05_d2.0,92.601619,2.981267,190.103464,2.046566,101.600000,3.361547,279.200000,44.578021,1.852097,0.267490
3.0,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
3.0,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
3.0,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
3.0,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
8.0,engagement_g05_d0.0,85.001633,2.509301,188.926246,2.545057,167.800000,3.271085,197.000000,10.024969,1.309297,0.067774
8.0,engagement_g05_d2.0,85.001633,2.509301,188.926246,2.545057,167.800000,3.271085,197.000000,10.024969,1.309297,0.067774
8.0,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
8.0,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
8.0,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
8.0,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
30.0,engagement_g05_d0.0,90.751455,2.494502,190.369287,3.769345,150.000000,7.713624,222.200000,20.789420,1.476607,0.135145
30.0,engagement_g05_d2.0,90.908738,2.548953,190.481106,3.704632,148.200000,8.497058,224.000000,19.429359,1.488332,0.122877
30.0,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
30.0,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
30.0,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
30.0,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
75.0,engagement_g05_d0.0,95.202446,4.412598,190.859326,3.481934,78.400000,9.964939,320.400000,36.691961,2.126204,0.207405
75.0,engagement_g05_d2.0,95.883549,2.781597,190.972926,3.520142,74.800000,10.256705,317.200000,44.042025,2.104821,0.263593
75.0,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
75.0,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
75.0,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
75.0,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
150.0,engagement_g05_d0.0,98.204151,3.927967,191.413791,3.089581,47.800000,3.420526,464.200000,109.953172,3.085467,0.740958
150.0,engagement_g05_d2.0,97.648219,2.727268,191.410983,2.523546,37.000000,3.535534,457.000000,119.551244,3.028132,0.742305
150.0,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
150.0,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
150.0,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
150.0,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
1000000000.0,engagement_g05_d0.0,98.351800,3.627708,191.317679,2.987896,44.000000,4.301163,465.800000,88.716966,3.096082,0.596351
1000000000.0,engagement_g05_d2.0,97.768036,2.390655,191.410983,2.523546,33.200000,3.701351,484.400000,129.908814,3.214182,0.839324
1000000000.0,naive_target_aware,91.060798,3.772200,189.910604,1.746928,686.400000,15.224979,274.400000,34.774991,1.820835,0.199546
1000000000.0,nearest,84.586248,2.049030,188.879420,2.482364,241.800000,14.822281,188.000000,6.819091,1.249445,0.045156
1000000000.0,oracle_a1,26.675386,1.539849,67.471057,4.131999,1569.400000,60.027494,485.000000,100.754652,3.214689,0.619381
1000000000.0,static,98.260229,4.092085,188.066617,3.327404,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
