relevant_range,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
1000000000.0,1,static,3072,93.946974,184.634696,0,1224,7.968750
1000000000.0,1,nearest,3072,81.609387,188.415484,255,187,1.217448
1000000000.0,1,naive_target_aware,3072,85.000554,188.415484,684,282,1.835938
1000000000.0,1,engagement_g05_d0.0,3072,92.347951,193.625508,46,539,3.509115
1000000000.0,1,engagement_g05_d2.0,3072,95.140661,193.625508,32,453,2.949219
1000000000.0,1,oracle_a1,3072,25.703907,61.303580,1625,529,3.444010
1000000000.0,2,static,3076,97.531688,187.852690,0,1260,8.192458
1000000000.0,2,nearest,3076,84.572780,191.478106,223,196,1.274382
1000000000.0,2,naive_target_aware,3076,93.323234,190.464828,709,329,2.139142
1000000000.0,2,engagement_g05_d0.0,3076,98.994113,193.035682,43,407,2.646294
1000000000.0,2,engagement_g05_d2.0,3076,96.622962,191.478106,35,653,4.245774
1000000000.0,2,oracle_a1,3076,27.912219,70.904515,1552,589,3.829649
1000000000.0,3,static,2993,94.831109,186.923839,0,620,4.143000
1000000000.0,3,nearest,2993,84.344152,185.560987,230,181,1.209489
1000000000.0,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
1000000000.0,3,engagement_g05_d0.0,2993,101.740508,188.906630,46,476,3.180755
1000000000.0,3,engagement_g05_d2.0,2993,99.007557,191.259772,33,432,2.886736
1000000000.0,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
1000000000.0,4,static,2947,102.172693,193.598701,0,606,4.112657
1000000000.0,4,nearest,2947,85.051521,191.198623,245,194,1.316593
1000000000.0,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
1000000000.0,4,engagement_g05_d0.0,2947,98.164988,193.697416,37,559,3.793688
1000000000.0,4,engagement_g05_d2.0,2947,96.809376,193.368367,28,568,3.854768
1000000000.0,4,oracle_a1,2947,24.480414,65.119678,1639,351,2.382083
1000000000.0,5,static,2961,102.818680,187.323161,0,1225,8.274232
1000000000.0,5,nearest,2961,87.353398,187.743898,256,182,1.229314
1000000000.0,5,naive_target_aware,2961,94.829212,187.743898,671,267,1.803445
1000000000.0,5,engagement_g05_d0.0,2961,100.511439,187.323161,48,348,2.350557
1000000000.0,5,engagement_g05_d2.0,2961,101.259624,187.323161,38,316,2.134414
1000000000.0,5,oracle_a1,2961,27.233132,70.075539,1529,408,2.755826
150.0,1,static,3072,93.946974,184.634696,0,1224,7.968750
150.0,1,nearest,3072,81.609387,188.415484,255,187,1.217448
150.0,1,naive_target_aware,3072,85.000554,188.415484,684,282,1.835938
150.0,1,engagement_g05_d0.0,3072,91.273850,193.625508,49,539,3.509115
150.0,1,engagement_g05_d2.0,3072,93.485066,193.625508,36,453,2.949219
150.0,1,oracle_a1,3072,25.703907,61.303580,1625,529,3.444010
150.0,2,static,3076,97.531688,187.852690,0,1260,8.192458
150.0,2,nearest,3076,84.572780,191.478106,223,196,1.274382
150.0,2,naive_target_aware,3076,93.323234,190.464828,709,329,2.139142
150.0,2,engagement_g05_d0.0,3076,99.122087,193.035682,44,407,2.646294
150.0,2,engagement_g05_d2.0,3076,96.622962,191.478106,35,653,4.245774
150.0,2,oracle_a1,3076,27.912219,70.904515,1552,589,3.829649
150.0,3,static,2993,94.831109,186.923839,0,620,4.143000
150.0,3,nearest,2993,84.344152,185.560987,230,181,1.209489
150.0,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
150.0,3,engagement_g05_d0.0,2993,100.928551,188.906630,47,476,3.180755
150.0,3,engagement_g05_d2.0,2993,98.895694,191.259772,34,433,2.893418
150.0,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
150.0,4,static,2947,102.172693,193.598701,0,606,4.112657
150.0,4,nearest,2947,85.051521,191.198623,245,194,1.316593
150.0,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
150.0,4,engagement_g05_d0.0,2947,99.757860,194.177976,46,589,3.997285
