dominant_peer_ratio,policy_id,n_seeds,mean_latency_ms_mean,migration_count_mean,self_service_fraction_mean,mean_remote_rtt_ms_mean,combined_s_alpha1_mean,combined_s_alpha1_std
0.85,static,30,101.807145,0.000000,0.050764,105.135825,305.621663,20.015141
0.85,nearest,30,100.207179,12.566667,0.051198,103.507570,302.175613,22.989841
0.85,proposed_d0.0,30,43.071775,151.533333,0.613510,106.266886,145.496962,8.715799
0.85,proposed_d0.25,30,49.875039,150.033333,0.549707,106.313110,165.769877,10.498972
0.85,proposed_d1.0,30,56.489911,149.866667,0.487390,106.297804,185.611080,12.042225
0.85,lowest_rtt_w10,30,37.127900,400.266667,0.492757,69.300549,129.509623,5.993698
0.85,lowest_rtt_w20,30,51.021347,345.300000,0.275176,67.680460,169.902642,10.096762
0.85,lowest_rtt_w50,30,66.545085,188.300000,0.094786,71.316559,212.992607,17.602371
0.85,lowest_rtt_w100,30,75.614808,123.400000,0.087805,80.768079,235.563795,20.272163
0.85,oracle_a1,30,9.985295,613.566667,0.802617,40.615637,48.184349,2.910009
0.7,static,30,101.902035,0.000000,0.050650,105.220961,305.908909,19.591029
0.7,nearest,30,100.170867,12.566667,0.051621,103.524461,302.070326,22.263231
0.7,proposed_d0.0,30,54.190873,162.866667,0.505251,105.489323,180.093927,8.885972
0.7,proposed_d0.25,30,59.687208,152.666667,0.454064,105.662624,195.530304,10.205941
0.7,proposed_d1.0,30,65.114817,150.933333,0.402299,105.598266,211.636194,11.144705
0.7,lowest_rtt_w10,30,50.232271,557.266667,0.334987,72.587512,178.704885,7.658514
0.7,lowest_rtt_w20,30,59.677773,409.633333,0.208268,72.888120,200.605420,10.848668
0.7,lowest_rtt_w50,30,71.271646,226.500000,0.083836,75.629688,229.225704,18.821777
0.7,lowest_rtt_w100,30,77.778479,150.766667,0.077423,82.178231,243.858312,21.128952
0.7,oracle_a1,30,16.163937,924.633333,0.639439,39.386416,74.841763,4.637541
0.6,static,30,102.013676,0.000000,0.050321,105.316813,306.238567,19.134891
0.6,nearest,30,100.393783,12.566667,0.050784,103.658242,302.734725,22.628676
0.6,proposed_d0.0,30,61.961112,191.966667,0.428737,104.970406,206.507539,8.536380
0.6,proposed_d0.25,30,66.569625,162.166667,0.386247,105.214553,217.051082,9.420680
0.6,proposed_d1.0,30,71.216608,155.300000,0.342637,105.302613,230.340898,10.516031
0.6,lowest_rtt_w10,30,58.620160,660.100000,0.247902,75.315127,212.679106,9.340413
0.6,lowest_rtt_w20,30,65.401123,463.666667,0.164592,75.915148,222.454531,11.384910
0.6,lowest_rtt_w50,30,74.143078,246.733333,0.075673,78.079727,239.232904,17.932165
0.6,lowest_rtt_w100,30,78.610348,162.966667,0.071156,82.506476,247.221531,20.735224
0.6,oracle_a1,30,19.633441,1109.266667,0.535017,37.997096,90.206921,6.281025
0.5,static,30,101.920502,0.000000,0.050033,105.178079,305.963965,18.971239
0.5,nearest,30,100.317429,12.566667,0.049778,103.473376,302.525139,22.503098
0.5,proposed_d0.0,30,70.442717,257.933333,0.347859,104.947668,238.905094,10.450266
0.5,proposed_d0.25,30,74.033486,188.666667,0.314215,105.034690,242.442764,10.499968
0.5,proposed_d1.0,30,77.567813,168.600000,0.279539,104.879988,250.800469,11.397685
0.5,lowest_rtt_w10,30,66.603427,773.466667,0.171929,78.060796,247.339511,13.105703
0.5,lowest_rtt_w20,30,70.436765,510.133333,0.122914,78.063256,242.353556,14.922718
0.5,lowest_rtt_w50,30,76.629850,265.866667,0.066820,80.002091,248.315756,21.241540
0.5,lowest_rtt_w100,30,79.300172,179.266667,0.064363,82.629047,250.755675,23.175675
0.5,oracle_a1,30,22.466335,1268.100000,0.441123,36.719538,102.738551,7.313802
0.4,static,30,101.782806,0.000000,0.049326,104.955226,305.542437,19.037455
0.4,nearest,30,100.215885,12.566667,0.050612,103.462809,302.201196,21.404809
0.4,proposed_d0.0,30,79.078277,382.466667,0.260918,104.283980,277.184610,10.644878
0.4,proposed_d0.25,30,81.739509,239.800000,0.237271,104.536858,270.793805,11.619743
0.4,proposed_d1.0,30,84.365295,196.066667,0.212654,104.597691,274.108462,12.112176
0.4,lowest_rtt_w10,30,74.179781,870.466667,0.120026,82.046590,279.768675,16.380080
0.4,lowest_rtt_w20,30,75.424673,559.400000,0.093711,81.046781,262.945225,17.313991
0.4,lowest_rtt_w50,30,78.981391,289.566667,0.059220,81.848198,257.234831,22.390226
0.4,lowest_rtt_w100,30,80.022321,178.300000,0.059968,83.003558,252.978826,24.160317
0.4,oracle_a1,30,24.807269,1394.333333,0.367460,36.130407,112.977785,8.001741
0.3,static,30,101.919641,0.000000,0.049002,105.068492,305.950699,19.570568
0.3,nearest,30,100.561379,12.566667,0.050371,103.797384,303.247660,21.584807
0.3,proposed_d0.0,30,88.285600,558.766667,0.170330,103.991487,323.507052,13.342457
0.3,proposed_d0.25,30,89.608453,323.933333,0.157498,103.972929,303.049046,12.777195
0.3,proposed_d1.0,30,91.478018,243.900000,0.142147,104.295213,300.224470,12.703714
0.3,lowest_rtt_w10,30,80.159095,950.700000,0.081183,85.073175,307.380980,22.617318
0.3,lowest_rtt_w20,30,79.687843,608.900000,0.069780,83.531641,281.414658,21.994204
0.3,lowest_rtt_w50,30,80.582690,318.166667,0.054998,83.169328,264.444061,26.668547
0.3,lowest_rtt_w100,30,80.814983,208.733333,0.055487,83.449140,257.641465,26.105054
0.3,oracle_a1,30,26.415167,1499.666667,0.310499,35.484208,120.591286,8.993794
0.25,static,30,101.590844,0.000000,0.050047,104.831414,304.957054,19.028307
0.25,nearest,30,100.466634,12.566667,0.050386,103.692972,302.965755,21.739671
0.25,proposed_d0.0,30,92.735562,657.366667,0.128627,104.120423,346.537035,14.014085
0.25,proposed_d0.25,30,93.503967,370.866667,0.120822,104.070481,319.279970,13.247358
0.25,proposed_d1.0,30,94.661351,266.466667,0.110115,104.120699,311.875080,12.456843
0.25,lowest_rtt_w10,30,82.747902,982.833333,0.069362,86.776689,318.870223,23.033739
0.25,lowest_rtt_w20,30,81.425907,620.266667,0.063188,84.794920,288.297410,23.025874
0.25,lowest_rtt_w50,30,81.309471,336.000000,0.054873,83.927553,267.991012,26.211311
0.25,lowest_rtt_w100,30,80.834152,201.666667,0.055024,83.439647,257.222373,25.569228
0.25,oracle_a1,30,27.223000,1539.133333,0.288022,35.506239,123.871341,8.878193
