dominant_peer_ratio,seed,policy_id,total_requests,mean_latency_ms,migration_count,self_service_fraction,mean_remote_rtt_ms,total_served_ms,total_migration_rtt_ms,combined_ms_alpha1
0.85,1,static,3072,92.240291,0,0.053060,95.296726,283362.175406,0.000000,283362.175406
0.85,1,nearest,3072,95.292062,25,0.052409,98.451809,292737.214624,4199.591890,296936.806514
0.85,1,proposed_d0.0,3072,37.061402,150,0.619466,92.137405,113852.626659,12731.592007,126584.218666
0.85,1,proposed_d0.25,3072,42.286703,150,0.556966,90.933690,129904.751797,12731.592007,142636.343804
0.85,1,proposed_d1.0,3072,48.474316,150,0.484049,90.075142,148913.100151,12731.592007,161644.692158
0.85,1,lowest_rtt_w10,3072,33.755548,412,0.524089,66.725749,103697.044466,17311.559663,121008.604129
0.85,1,lowest_rtt_w20,3072,45.666587,344,0.346354,66.804659,140287.755724,16214.029410,156501.785134
0.85,1,lowest_rtt_w50,3072,61.568037,193,0.125326,68.103092,189137.009126,11639.179532,200776.188658
0.85,1,lowest_rtt_w100,3072,69.320022,131,0.194987,83.626003,212951.106232,8005.205343,220956.311575
0.85,1,oracle_a1,3072,9.513081,661,0.800781,37.712721,29224.185251,17653.485724,46877.670975
0.85,2,static,3076,97.711860,0,0.051691,100.928928,300561.682314,0.000000,300561.682314
0.85,2,nearest,3076,87.885892,5,0.046814,90.104026,270337.005169,505.132572,270842.137741
0.85,2,proposed_d0.0,3076,44.422502,152,0.622562,112.395879,136643.615879,17363.583961,154007.199840
0.85,2,proposed_d0.25,3076,52.152182,150,0.550065,111.465399,160420.111885,17086.055979,177506.167864
0.85,2,proposed_d1.0,3076,58.637119,150,0.489597,110.965465,180367.779274,17086.055979,197453.835253
0.85,2,lowest_rtt_w10,3076,37.462777,388,0.510403,72.432604,115235.502031,17662.999568,132898.501599
0.85,2,lowest_rtt_w20,3076,53.166739,370,0.285761,71.638092,163540.887760,20016.472059,183557.359819
0.85,2,lowest_rtt_w50,3076,62.864446,195,0.071196,65.529939,193371.036254,11436.673794,204807.710048
0.85,2,lowest_rtt_w100,3076,68.739704,92,0.040312,69.543133,211443.329299,5436.705876,216880.035175
0.85,2,oracle_a1,3076,9.541625,620,0.802666,38.217524,29350.037036,18277.871871,47627.908907
0.85,3,static,2993,94.786623,0,0.048780,97.544912,283696.363604,0.000000,283696.363604
0.85,3,nearest,2993,91.008822,5,0.055129,94.202053,272389.404699,366.621124,272756.025823
0.85,3,proposed_d0.0,2993,41.976926,153,0.613765,103.504273,125636.939597,15998.377283,141635.316880
0.85,3,proposed_d0.25,2993,48.644618,151,0.550952,103.874511,145593.342678,15895.546737,161488.889415
0.85,3,proposed_d1.0,2993,55.048309,150,0.491814,104.387632,164759.588954,15849.586172,180609.175126
