assignment,seed,policy_id,total_requests,mean_latency_ms,migration_count,request_imbalance,peak_window_imbalance
distinct,1,static,358,50.904181,0,3.407821,4.166667
distinct,1,nearest,358,74.488897,3,3.379888,4.166667
distinct,1,follow_d0.0,358,34.430682,4,3.435754,4.166667
distinct,1,follow_d1.0,358,34.039186,1,3.407821,4.166667
distinct,2,static,373,95.131955,0,7.158177,7.826087
distinct,2,nearest,373,104.845825,3,7.104558,7.826087
distinct,2,follow_d0.0,373,22.689058,5,3.565684,4.492754
distinct,2,follow_d1.0,373,26.572091,3,3.378016,4.492754
distinct,3,static,329,119.921070,0,3.617021,4.901961
distinct,3,nearest,329,105.042896,3,3.586626,4.901961
distinct,3,follow_d0.0,329,30.209412,4,3.556231,4.901961
distinct,3,follow_d1.0,329,30.995444,3,3.465046,4.901961
distinct,4,static,348,117.401746,0,6.408046,7.894737
distinct,4,nearest,348,98.269119,3,3.563218,4.655172
distinct,4,follow_d0.0,348,24.035343,4,3.563218,4.655172
distinct,4,follow_d1.0,348,27.931596,3,3.505747,4.461538
distinct,5,static,376,160.963286,0,3.617021,4.137931
distinct,5,nearest,376,155.746673,2,6.675532,7.230769
distinct,5,follow_d0.0,376,29.847794,4,3.537234,4.137931
distinct,5,follow_d1.0,376,34.847281,3,3.430851,4.137931
distinct,6,static,356,104.673571,0,3.398876,4.137931
distinct,6,nearest,356,85.549210,3,6.544944,7.241379
distinct,6,follow_d0.0,356,31.482524,4,3.342697,4.137931
distinct,6,follow_d1.0,356,33.055870,3,3.286517,4.137931
distinct,7,static,375,118.866464,0,3.546667,4.285714
distinct,7,nearest,375,108.992468,3,3.520000,4.285714
distinct,7,follow_d0.0,375,34.297214,4,3.520000,4.285714
distinct,7,follow_d1.0,375,38.389042,3,3.413333,4.285714
distinct,8,static,378,109.432599,0,3.624339,4.600000
distinct,8,nearest,378,90.265125,3,3.597884,4.600000
distinct,8,follow_d0.0,378,36.851624,8,3.677249,4.600000
distinct,8,follow_d1.0,378,37.832848,3,3.492063,4.600000
distinct,9,static,366,91.077508,0,3.661202,4.642857
distinct,9,nearest,366,75.222935,2,6.885246,7.321429
distinct,9,follow_d0.0,366,34.896267,4,3.661202,4.642857
distinct,9,follow_d1.0,366,36.553875,3,3.661202,4.642857
distinct,10,static,369,92.606590,0,3.550136,4.576271
distinct,10,nearest,369,95.966900,3,3.523035,4.576271
distinct,10,follow_d0.0,369,28.650404,6,3.441734,4.307692
distinct,10,follow_d1.0,369,29.805294,3,3.360434,4.307692
distinct,11,static,367,88.454322,0,3.460490,4.137931
