src_peer,dst_peer,rtt_ms
P0001,P0001,0.000000
P0001,P0002,67.534062
P0001,P0003,53.681866
P0001,P0004,190.730649
P0001,P0005,18.750312
P0001,P0006,197.743914
P0001,P0007,144.781137
P0001,P0008,17.166422
P0001,P0009,92.757752
P0001,P0010,156.901090
P0002,P0001,67.534062
P0002,P0002,0.000000
P0002,P0003,145.519529
P0002,P0004,133.953176
P0002,P0005,123.075103
P0002,P0006,145.456965
P0002,P0007,148.453261
P0002,P0008,30.494498
P0002,P0009,146.288709
P0002,P0010,184.923839
P0003,P0001,53.681866
P0003,P0002,145.519529
P0003,P0003,0.000000
P0003,P0004,50.404019
P0003,P0005,30.439139
P0003,P0006,44.224297
P0003,P0007,112.931686
P0003,P0008,52.409413
P0003,P0009,115.192689
P0003,P0010,146.153871
P0004,P0001,190.730649
P0004,P0002,133.953176
P0004,P0003,50.404019
P0004,P0004,0.000000
P0004,P0005,93.705974
P0004,P0006,37.019936
P0004,P0007,162.062864
P0004,P0008,51.183369
P0004,P0009,59.018719
P0004,P0010,62.562781
P0005,P0001,18.750312
P0005,P0002,123.075103
P0005,P0003,30.439139
P0005,P0004,93.705974
P0005,P0005,0.000000
P0005,P0006,164.981161
P0005,P0007,68.840332
P0005,P0008,79.318883
P0005,P0009,93.048711
P0005,P0010,142.132465
P0006,P0001,197.743914
P0006,P0002,145.456965
P0006,P0003,44.224297
P0006,P0004,37.019936
P0006,P0005,164.981161
P0006,P0006,0.000000
P0006,P0007,140.017112
P0006,P0008,91.577497
P0006,P0009,54.197805
P0006,P0010,190.273920
P0007,P0001,144.781137
P0007,P0002,148.453261
P0007,P0003,112.931686
P0007,P0004,162.062864
P0007,P0005,68.840332
P0007,P0006,140.017112
P0007,P0007,0.000000
P0007,P0008,29.338808
P0007,P0009,135.111764
P0007,P0010,189.730185
P0008,P0001,17.166422
P0008,P0002,30.494498
P0008,P0003,52.409413
P0008,P0004,51.183369
P0008,P0005,79.318883
P0008,P0006,91.577497
P0008,P0007,29.338808
P0008,P0008,0.000000
P0008,P0009,22.189066
P0008,P0010,107.656812
P0009,P0001,92.757752
P0009,P0002,146.288709
P0009,P0003,115.192689
P0009,P0004,59.018719
P0009,P0005,93.048711
P0009,P0006,54.197805
P0009,P0007,135.111764
P0009,P0008,22.189066
P0009,P0009,0.000000
P0009,P0010,25.055421
P0010,P0001,156.901090
P0010,P0002,184.923839
P0010,P0003,146.153871
P0010,P0004,62.562781
P0010,P0005,142.132465
P0010,P0006,190.273920
P0010,P0007,189.730185
P0010,P0008,107.656812
P0010,P0009,25.055421
P0010,P0010,0.000000
