src_peer,dst_peer,rtt_ms
P0001,P0001,0.000000
P0001,P0002,57.856012
P0001,P0003,160.522671
P0001,P0004,36.839193
P0001,P0005,21.341324
P0001,P0006,46.235080
P0001,P0007,127.780040
P0001,P0008,68.399900
P0001,P0009,41.587681
P0001,P0010,89.429276
P0002,P0001,57.856012
P0002,P0002,0.000000
P0002,P0003,115.227699
P0002,P0004,181.781753
P0002,P0005,100.710913
P0002,P0006,70.641029
P0002,P0007,125.759990
P0002,P0008,34.870558
P0002,P0009,62.542106
P0002,P0010,28.315786
P0003,P0001,160.522671
P0003,P0002,115.227699
P0003,P0003,0.000000
P0003,P0004,45.786520
P0003,P0005,34.465284
P0003,P0006,103.275905
P0003,P0007,87.610010
P0003,P0008,86.435479
P0003,P0009,144.097866
P0003,P0010,153.696643
P0004,P0001,36.839193
P0004,P0002,181.781753
P0004,P0003,45.786520
P0004,P0004,0.000000
P0004,P0005,56.969338
P0004,P0006,66.434963
P0004,P0007,191.824434
P0004,P0008,132.915641
P0004,P0009,147.961300
P0004,P0010,62.811291
P0005,P0001,21.341324
P0005,P0002,100.710913
P0005,P0003,34.465284
P0005,P0004,56.969338
P0005,P0005,0.000000
P0005,P0006,14.774675
P0005,P0007,145.904841
P0005,P0008,108.251206
P0005,P0009,56.085796
P0005,P0010,116.492229
P0006,P0001,46.235080
P0006,P0002,70.641029
P0006,P0003,103.275905
P0006,P0004,66.434963
P0006,P0005,14.774675
P0006,P0006,0.000000
P0006,P0007,178.902468
P0006,P0008,190.868599
P0006,P0009,74.356062
P0006,P0010,36.607211
P0007,P0001,127.780040
P0007,P0002,125.759990
P0007,P0003,87.610010
P0007,P0004,191.824434
P0007,P0005,145.904841
P0007,P0006,178.902468
P0007,P0007,0.000000
P0007,P0008,199.343616
P0007,P0009,53.074067
P0007,P0010,131.725493
P0008,P0001,68.399900
P0008,P0002,34.870558
P0008,P0003,86.435479
P0008,P0004,132.915641
P0008,P0005,108.251206
P0008,P0006,190.868599
P0008,P0007,199.343616
P0008,P0008,0.000000
P0008,P0009,180.673446
P0008,P0010,83.290031
P0009,P0001,41.587681
P0009,P0002,62.542106
P0009,P0003,144.097866
P0009,P0004,147.961300
P0009,P0005,56.085796
P0009,P0006,74.356062
P0009,P0007,53.074067
P0009,P0008,180.673446
P0009,P0009,0.000000
P0009,P0010,186.415484
P0010,P0001,89.429276
P0010,P0002,28.315786
P0010,P0003,153.696643
P0010,P0004,62.811291
P0010,P0005,116.492229
P0010,P0006,36.607211
P0010,P0007,131.725493
P0010,P0008,83.290031
P0010,P0009,186.415484
P0010,P0010,0.000000
