peer_id,initial_x,initial_y,movement_model,movement_speed
P0001,688.569684,973.863882,random_walk,2.000000
P0002,778.796761,69.969949,random_walk,2.000000
P0003,770.690594,998.878526,random_walk,2.000000
P0004,323.925736,269.107362,random_walk,2.000000
P0005,306.561974,622.693819,random_walk,2.000000
P0006,767.302901,836.036917,random_walk,2.000000
P0007,251.790711,254.203608,random_walk,2.000000
P0008,739.485689,892.673188,random_walk,2.000000
P0009,161.305390,890.056322,random_walk,2.000000
P0010,102.182667,281.898128,random_walk,2.000000
