dataset_id,scenario,seed,policy_id,total_requests,mean_latency_ms,median_latency_ms,p95_latency_ms,max_latency_ms,migration_count,migration_rate_per_second,migration_rate_per_request,migration_bytes_total,mean_holding_time_s,total_network_traffic_bytes,max_requests_per_peer,request_imbalance
small-burst-seed-001,burst,1,engagement_aware_r1500_g05_d2,358,91.865333,89.610010,193.824434,201.343616,5,0.083333,0.013966,20480,22.500000,112128,96,2.681564
small-burst-seed-001,burst,1,engagement_aware_r250_g05_d2,358,93.030507,76.356062,188.415484,193.824434,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-burst-seed-001,burst,1,engagement_aware_r500_g03_d0,358,86.142689,64.811291,188.415484,193.824434,5,0.083333,0.013966,20480,22.500000,112128,119,3.324022
small-burst-seed-001,burst,1,engagement_aware_r500_g05_d2,358,93.030507,76.356062,188.415484,193.824434,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-burst-seed-001,burst,1,interaction_aware_w10,358,75.792629,64.542106,188.415484,201.343616,61,1.016667,0.170391,249856,2.812500,341504,76,2.122905
small-burst-seed-001,burst,1,interaction_aware_w50,358,85.298688,88.435479,188.415484,201.343616,28,0.466667,0.078212,114688,5.806452,206336,95,2.653631
small-burst-seed-001,burst,1,lowest_rtt_all,358,72.791467,58.969338,162.522671,193.824434,40,0.666667,0.111732,163840,4.186047,255488,155,4.329609
small-burst-seed-001,burst,1,lowest_rtt_t10s,358,74.033359,58.969338,182.673446,201.343616,60,1.000000,0.167598,245760,2.857143,337408,119,3.324022
small-burst-seed-001,burst,1,lowest_rtt_w1,358,77.021130,64.811291,188.415484,201.343616,277,4.616667,0.773743,1134592,0.642857,1226240,52,1.452514
small-burst-seed-001,burst,1,lowest_rtt_w10,358,70.707936,59.856012,180.902468,201.343616,99,1.650000,0.276536,405504,1.764706,497152,85,2.374302
small-burst-seed-001,burst,1,lowest_rtt_w50,358,74.142809,59.856012,162.522671,193.824434,34,0.566667,0.094972,139264,4.864865,230912,155,4.329609
small-burst-seed-001,burst,1,nearest_h0,358,93.030507,76.356062,188.415484,193.824434,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-burst-seed-001,burst,1,nearest_h5,358,94.967830,85.290031,188.415484,201.343616,3,0.050000,0.008380,12288,30.000000,103936,109,3.044693
small-burst-seed-001,burst,1,oracle_a0,358,2.962835,2.000000,2.000000,193.824434,274,4.566667,0.765363,1122304,0.649819,1213952,52,1.452514
small-burst-seed-001,burst,1,oracle_a1,358,29.943684,16.774675,89.610010,193.824434,116,1.933333,0.324022,475136,1.512605,566784,81,2.262570
small-burst-seed-001,burst,1,oracle_a10,358,62.873543,58.085796,147.904841,193.824434,8,0.133333,0.022346,32768,16.363636,124416,160,4.469274
small-burst-seed-001,burst,1,static,358,118.599581,127.759990,193.824434,201.343616,0,0.000000,0.000000,0,60.000000,91648,122,3.407821
small-burst-seed-002,burst,2,engagement_aware_r1500_g05_d2,373,90.716334,91.776685,184.888447,195.394846,3,0.050000,0.008043,12288,30.000000,107776,97,2.600536
small-burst-seed-002,burst,2,engagement_aware_r250_g05_d2,373,113.544541,124.128738,188.027506,188.027506,1,0.016667,0.002681,4096,45.000000,99584,372,9.973190
small-burst-seed-002,burst,2,engagement_aware_r500_g03_d0,373,97.659567,91.776685,188.279247,195.394846,18,0.300000,0.048257,73728,8.571429,169216,163,4.369973
small-burst-seed-002,burst,2,engagement_aware_r500_g05_d2,373,96.523540,91.776685,188.656859,195.394846,4,0.066667,0.010724,16384,25.714286,111872,156,4.182306
small-burst-seed-002,burst,2,interaction_aware_w10,373,86.282838,86.879301,188.027506,195.394846,88,1.466667,0.235925,360448,1.978022,455936,76,2.037534
small-burst-seed-002,burst,2,interaction_aware_w50,373,86.854701,91.776685,173.737418,195.394846,43,0.716667,0.115282,176128,3.913043,271616,100,2.680965
small-burst-seed-002,burst,2,lowest_rtt_all,373,70.982838,67.477678,155.470547,188.027506,40,0.666667,0.107239,163840,4.186047,259328,200,5.361930
small-burst-seed-002,burst,2,lowest_rtt_t10s,373,70.512335,63.571449,155.470547,188.027506,61,1.016667,0.163539,249856,2.812500,345344,187,5.013405
small-burst-seed-002,burst,2,lowest_rtt_w1,373,86.277733,86.879301,188.027506,195.394846,303,5.050000,0.812332,1241088,0.588235,1336576,47,1.260054
small-burst-seed-002,burst,2,lowest_rtt_w10,373,67.477737,59.742029,155.470547,188.027506,80,1.333333,0.214477,327680,2.168675,423168,147,3.941019
small-burst-seed-002,burst,2,lowest_rtt_w50,373,69.678095,67.477678,155.470547,188.027506,36,0.600000,0.096515,147456,4.615385,242944,201,5.388740
small-burst-seed-002,burst,2,nearest_h0,373,111.368994,117.991015,188.656859,188.656859,3,0.050000,0.008043,12288,30.000000,107776,265,7.104558
small-burst-seed-002,burst,2,nearest_h5,373,111.278952,117.991015,188.656859,195.394846,3,0.050000,0.008043,12288,30.000000,107776,236,6.327078
small-burst-seed-002,burst,2,oracle_a0,373,2.845263,2.000000,2.000000,166.673671,300,5.000000,0.804290,1228800,0.594059,1324288,48,1.286863
small-burst-seed-002,burst,2,oracle_a1,373,27.511758,12.705802,86.879301,166.673671,159,2.650000,0.426273,651264,1.111111,746752,116,3.109920
small-burst-seed-002,burst,2,oracle_a10,373,48.388099,33.478139,126.315017,188.027506,25,0.416667,0.067024,102400,6.428571,197888,209,5.603217
small-burst-seed-002,burst,2,static,373,112.963053,124.128738,188.027506,195.394846,0,0.000000,0.000000,0,60.000000,95488,267,7.158177
small-burst-seed-003,burst,3,engagement_aware_r1500_g05_d2,329,88.090013,64.562781,192.730649,199.743914,5,0.083333,0.015198,20480,22.500000,104704,117,3.556231
small-burst-seed-003,burst,3,engagement_aware_r250_g05_d2,329,103.954281,109.656812,192.547957,199.743914,4,0.066667,0.012158,16384,25.714286,100608,107,3.252280
small-burst-seed-003,burst,3,engagement_aware_r500_g03_d0,329,91.405676,70.840332,192.273920,199.743914,21,0.350000,0.063830,86016,7.500000,170240,94,2.857143
small-burst-seed-003,burst,3,engagement_aware_r500_g05_d2,329,96.919552,94.757752,192.273920,199.743914,2,0.033333,0.006079,8192,36.000000,92416,108,3.282675
small-burst-seed-003,burst,3,interaction_aware_w10,329,90.054193,81.318883,192.730649,199.743914,74,1.233333,0.224924,303104,2.337662,387328,58,1.762918
small-burst-seed-003,burst,3,interaction_aware_w50,329,89.222259,69.534062,192.273920,199.743914,28,0.466667,0.085106,114688,5.806452,198912,79,2.401216
small-burst-seed-003,burst,3,lowest_rtt_all,329,58.633999,53.183369,109.656812,192.273920,7,0.116667,0.021277,28672,18.000000,112896,313,9.513678
small-burst-seed-003,burst,3,lowest_rtt_t10s,329,64.324838,54.409413,136.648329,192.730649,36,0.600000,0.109422,147456,4.615385,231680,212,6.443769
small-burst-seed-003,burst,3,lowest_rtt_w1,329,83.941405,70.840332,192.547957,199.743914,256,4.266667,0.778116,1048576,0.694981,1132800,49,1.489362
small-burst-seed-003,burst,3,lowest_rtt_w10,329,60.758423,53.183369,147.900134,199.743914,57,0.950000,0.173252,233472,3.000000,317696,195,5.927052
small-burst-seed-003,burst,3,lowest_rtt_w50,329,59.339963,53.183369,109.656812,192.273920,14,0.233333,0.042553,57344,10.588235,141568,284,8.632219
small-burst-seed-003,burst,3,nearest_h0,329,101.637258,95.705974,192.273920,192.730649,3,0.050000,0.009119,12288,30.000000,96512,118,3.586626
small-burst-seed-003,burst,3,nearest_h5,329,99.862965,94.757752,192.273920,199.743914,3,0.050000,0.009119,12288,30.000000,96512,109,3.313070
small-burst-seed-003,burst,3,oracle_a0,329,3.236485,2.000000,2.000000,148.153871,253,4.216667,0.768997,1036288,0.703125,1120512,50,1.519757
small-burst-seed-003,burst,3,oracle_a1,329,26.282310,24.189066,81.318883,148.153871,121,2.016667,0.367781,495616,1.451613,579840,130,3.951368
small-burst-seed-003,burst,3,oracle_a10,329,52.996054,53.183369,109.656812,158.901090,7,0.116667,0.021277,28672,18.000000,112896,296,8.996960
small-burst-seed-003,burst,3,static,329,80.724937,56.197805,182.156816,199.743914,0,0.000000,0.000000,0,60.000000,84224,119,3.617021
small-concentrated-seed-001,concentrated,1,engagement_aware_r1500_g05_d2,358,34.720780,2.000000,192.868599,201.343616,1,0.016667,0.002793,4096,45.000000,95744,122,3.407821
small-concentrated-seed-001,concentrated,1,engagement_aware_r250_g05_d2,358,74.488897,72.641029,149.961300,201.343616,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-concentrated-seed-001,concentrated,1,engagement_aware_r500_g03_d0,358,74.488897,72.641029,149.961300,201.343616,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-concentrated-seed-001,concentrated,1,engagement_aware_r500_g05_d2,358,74.488897,72.641029,149.961300,201.343616,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-concentrated-seed-001,concentrated,1,interaction_aware_w10,358,34.430682,2.000000,192.868599,201.343616,4,0.066667,0.011173,16384,25.714286,108032,123,3.435754
small-concentrated-seed-001,concentrated,1,interaction_aware_w50,358,34.430682,2.000000,192.868599,201.343616,4,0.066667,0.011173,16384,25.714286,108032,123,3.435754
small-concentrated-seed-001,concentrated,1,lowest_rtt_all,358,34.658567,2.000000,192.868599,201.343616,6,0.100000,0.016760,24576,20.000000,116224,123,3.435754
small-concentrated-seed-001,concentrated,1,lowest_rtt_t10s,358,35.739100,2.000000,192.868599,201.343616,21,0.350000,0.058659,86016,7.500000,177664,114,3.184358
small-concentrated-seed-001,concentrated,1,lowest_rtt_w1,358,55.199807,2.000000,193.824434,201.343616,169,2.816667,0.472067,692224,1.046512,783872,97,2.709497
small-concentrated-seed-001,concentrated,1,lowest_rtt_w10,358,36.520903,2.000000,192.868599,201.343616,28,0.466667,0.078212,114688,5.806452,206336,111,3.100559
small-concentrated-seed-001,concentrated,1,lowest_rtt_w50,358,34.658567,2.000000,192.868599,201.343616,6,0.100000,0.016760,24576,20.000000,116224,123,3.435754
small-concentrated-seed-001,concentrated,1,nearest_h0,358,74.488897,72.641029,149.961300,201.343616,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-concentrated-seed-001,concentrated,1,nearest_h5,358,71.340065,72.641029,150.821601,201.343616,3,0.050000,0.008380,12288,30.000000,103936,109,3.044693
small-concentrated-seed-001,concentrated,1,oracle_a0,358,2.684721,2.000000,2.000000,201.343616,166,2.766667,0.463687,679936,1.065089,771584,98,2.737430
small-concentrated-seed-001,concentrated,1,oracle_a1,358,23.424336,2.000000,127.759990,201.343616,50,0.833333,0.139665,204800,3.396226,296448,106,2.960894
small-concentrated-seed-001,concentrated,1,oracle_a10,358,33.296896,2.000000,192.868599,201.343616,1,0.016667,0.002793,4096,45.000000,95744,122,3.407821
small-concentrated-seed-001,concentrated,1,static,358,50.904181,2.000000,192.868599,201.343616,0,0.000000,0.000000,0,60.000000,91648,122,3.407821
small-concentrated-seed-002,concentrated,2,engagement_aware_r1500_g05_d2,373,27.383683,2.000000,140.903236,188.656859,3,0.050000,0.008043,12288,30.000000,107776,125,3.351206
small-concentrated-seed-002,concentrated,2,engagement_aware_r250_g05_d2,373,120.739029,124.128738,188.027506,188.027506,1,0.016667,0.002681,4096,45.000000,99584,372,9.973190
small-concentrated-seed-002,concentrated,2,engagement_aware_r500_g03_d0,373,79.027723,67.477678,184.757355,195.394846,2,0.033333,0.005362,8192,36.000000,103680,234,6.273458
small-concentrated-seed-002,concentrated,2,engagement_aware_r500_g05_d2,373,79.027723,67.477678,184.757355,195.394846,2,0.033333,0.005362,8192,36.000000,103680,234,6.273458
small-concentrated-seed-002,concentrated,2,interaction_aware_w10,373,22.689058,2.000000,140.903236,188.656859,5,0.083333,0.013405,20480,22.500000,115968,133,3.565684
small-concentrated-seed-002,concentrated,2,interaction_aware_w50,373,22.689058,2.000000,140.903236,188.656859,5,0.083333,0.013405,20480,22.500000,115968,133,3.565684
small-concentrated-seed-002,concentrated,2,lowest_rtt_all,373,23.158144,2.000000,140.903236,188.656859,9,0.150000,0.024129,36864,15.000000,132352,130,3.485255
small-concentrated-seed-002,concentrated,2,lowest_rtt_t10s,373,24.921719,2.000000,140.903236,188.656859,18,0.300000,0.048257,73728,8.571429,169216,130,3.485255
small-concentrated-seed-002,concentrated,2,lowest_rtt_w1,373,38.520016,2.000000,155.470547,188.656859,154,2.566667,0.412869,630784,1.146497,726272,110,2.949062
small-concentrated-seed-002,concentrated,2,lowest_rtt_w10,373,26.019162,2.000000,140.903236,188.656859,31,0.516667,0.083110,126976,5.294118,222464,130,3.485255
small-concentrated-seed-002,concentrated,2,lowest_rtt_w50,373,23.158144,2.000000,140.903236,188.656859,9,0.150000,0.024129,36864,15.000000,132352,130,3.485255
small-concentrated-seed-002,concentrated,2,nearest_h0,373,104.845825,134.384601,188.027506,188.656859,3,0.050000,0.008043,12288,30.000000,107776,265,7.104558
small-concentrated-seed-002,concentrated,2,nearest_h5,373,103.226243,134.384601,188.027506,188.656859,3,0.050000,0.008043,12288,30.000000,107776,236,6.327078
small-concentrated-seed-002,concentrated,2,oracle_a0,373,3.154324,2.000000,2.000000,188.027506,152,2.533333,0.407507,622592,1.161290,718080,112,3.002681
small-concentrated-seed-002,concentrated,2,oracle_a1,373,14.018196,2.000000,76.038911,188.027506,61,1.016667,0.163539,249856,2.812500,345344,123,3.297587
small-concentrated-seed-002,concentrated,2,oracle_a10,373,22.044212,2.000000,134.384601,188.656859,8,0.133333,0.021448,32768,16.363636,128256,131,3.512064
small-concentrated-seed-002,concentrated,2,static,373,95.131955,67.477678,185.085086,195.394846,0,0.000000,0.000000,0,60.000000,95488,267,7.158177
small-concentrated-seed-003,concentrated,3,engagement_aware_r1500_g05_d2,329,31.351889,2.000000,164.062864,199.743914,3,0.050000,0.009119,12288,30.000000,96512,112,3.404255
small-concentrated-seed-003,concentrated,3,engagement_aware_r250_g05_d2,329,105.042896,146.781137,186.923839,199.743914,3,0.050000,0.009119,12288,30.000000,96512,118,3.586626
small-concentrated-seed-003,concentrated,3,engagement_aware_r500_g03_d0,329,70.713912,2.000000,186.923839,199.743914,4,0.066667,0.012158,16384,25.714286,100608,117,3.556231
small-concentrated-seed-003,concentrated,3,engagement_aware_r500_g05_d2,329,71.974231,2.000000,186.923839,199.743914,3,0.050000,0.009119,12288,30.000000,96512,112,3.404255
small-concentrated-seed-003,concentrated,3,interaction_aware_w10,329,30.209412,2.000000,164.062864,199.743914,4,0.066667,0.012158,16384,25.714286,100608,117,3.556231
small-concentrated-seed-003,concentrated,3,interaction_aware_w50,329,30.209412,2.000000,164.062864,199.743914,4,0.066667,0.012158,16384,25.714286,100608,117,3.556231
small-concentrated-seed-003,concentrated,3,lowest_rtt_all,329,31.323263,19.166422,135.953176,199.743914,20,0.333333,0.060790,81920,7.826087,166144,146,4.437690
small-concentrated-seed-003,concentrated,3,lowest_rtt_t10s,329,30.727050,2.000000,146.781137,199.743914,28,0.466667,0.085106,114688,5.806452,198912,117,3.556231
small-concentrated-seed-003,concentrated,3,lowest_rtt_w1,329,52.051909,2.000000,192.730649,199.743914,143,2.383333,0.434650,585728,1.232877,669952,95,2.887538
small-concentrated-seed-003,concentrated,3,lowest_rtt_w10,329,31.350712,2.000000,147.519529,199.743914,39,0.650000,0.118541,159744,4.285714,243968,115,3.495441
small-concentrated-seed-003,concentrated,3,lowest_rtt_w50,329,31.525824,19.166422,146.781137,199.743914,28,0.466667,0.085106,114688,5.806452,198912,122,3.708207
small-concentrated-seed-003,concentrated,3,nearest_h0,329,105.042896,146.781137,186.923839,199.743914,3,0.050000,0.009119,12288,30.000000,96512,118,3.586626
small-concentrated-seed-003,concentrated,3,nearest_h5,329,105.524232,146.781137,186.923839,199.743914,3,0.050000,0.009119,12288,30.000000,96512,109,3.313070
small-concentrated-seed-003,concentrated,3,oracle_a0,329,3.208089,2.000000,2.000000,199.743914,140,2.333333,0.425532,573440,1.258741,657664,96,2.917933
small-concentrated-seed-003,concentrated,3,oracle_a1,329,14.645201,2.000000,61.018719,199.743914,82,1.366667,0.249240,335872,2.117647,420096,101,3.069909
small-concentrated-seed-003,concentrated,3,oracle_a10,329,27.481993,19.166422,118.907787,199.743914,5,0.083333,0.015198,20480,22.500000,104704,145,4.407295
small-concentrated-seed-003,concentrated,3,static,329,119.921070,147.519529,199.743914,199.743914,0,0.000000,0.000000,0,60.000000,84224,119,3.617021
small-shifting-seed-001,shifting,1,engagement_aware_r1500_g05_d2,358,48.509528,2.000000,188.415484,201.343616,9,0.150000,0.025140,36864,15.000000,128512,88,2.458101
small-shifting-seed-001,shifting,1,engagement_aware_r250_g05_d2,358,75.192775,64.542106,182.673446,188.415484,4,0.066667,0.011173,16384,25.714286,108032,119,3.324022
small-shifting-seed-001,shifting,1,engagement_aware_r500_g03_d0,358,59.550737,58.527567,182.673446,188.415484,5,0.083333,0.013966,20480,22.500000,112128,119,3.324022
small-shifting-seed-001,shifting,1,engagement_aware_r500_g05_d2,358,62.890104,59.856012,182.673446,188.415484,5,0.083333,0.013966,20480,22.500000,112128,119,3.324022
small-shifting-seed-001,shifting,1,interaction_aware_w10,358,29.438107,2.000000,182.673446,201.343616,11,0.183333,0.030726,45056,12.857143,136704,92,2.569832
small-shifting-seed-001,shifting,1,interaction_aware_w50,358,68.849346,16.774675,201.343616,201.343616,11,0.183333,0.030726,45056,12.857143,136704,111,3.100559
small-shifting-seed-001,shifting,1,lowest_rtt_all,358,64.101203,30.315786,180.902468,192.868599,10,0.166667,0.027933,40960,13.846154,132608,161,4.497207
small-shifting-seed-001,shifting,1,lowest_rtt_t10s,358,36.587326,2.000000,181.168115,201.343616,19,0.316667,0.053073,77824,8.181818,169472,85,2.374302
small-shifting-seed-001,shifting,1,lowest_rtt_w1,358,29.723833,2.000000,180.902468,201.343616,93,1.550000,0.259777,380928,1.875000,472576,79,2.206704
small-shifting-seed-001,shifting,1,lowest_rtt_w10,358,25.777263,2.000000,180.902468,201.343616,18,0.300000,0.050279,73728,8.571429,165376,85,2.374302
small-shifting-seed-001,shifting,1,lowest_rtt_w50,358,59.509904,30.315786,188.415484,201.343616,21,0.350000,0.058659,86016,7.500000,177664,105,2.932961
