timestamp,request_id,entity_id,peer_id,request_type
0.235831,R000000001,E0002,P0010,attack
0.240621,R000000002,E0002,P0010,attack
0.377527,R000000003,E0001,P0002,attack
0.560540,R000000004,E0002,P0010,attack
0.608495,R000000005,E0003,P0007,attack
0.779744,R000000006,E0002,P0010,attack
0.815825,R000000007,E0002,P0010,attack
0.863188,R000000008,E0002,P0010,attack
0.874972,R000000009,E0001,P0007,attack
0.877330,R000000010,E0003,P0004,attack
0.929317,R000000011,E0003,P0007,attack
0.930863,R000000012,E0001,P0002,attack
0.969969,R000000013,E0003,P0007,attack
0.970918,R000000014,E0002,P0010,attack
1.075732,R000000015,E0002,P0010,attack
1.099539,R000000016,E0003,P0002,attack
1.105289,R000000017,E0001,P0002,attack
1.270777,R000000018,E0002,P0010,attack
1.333224,R000000019,E0003,P0007,attack
1.452762,R000000020,E0002,P0009,attack
1.568790,R000000021,E0002,P0010,attack
1.802472,R000000022,E0001,P0002,attack
1.824448,R000000023,E0003,P0007,attack
2.290291,R000000024,E0001,P0002,attack
2.317986,R000000025,E0003,P0001,attack
2.787390,R000000026,E0003,P0001,attack
3.007106,R000000027,E0003,P0007,attack
3.014699,R000000028,E0001,P0002,attack
3.276805,R000000029,E0001,P0002,attack
3.334522,R000000030,E0003,P0007,attack
3.343856,R000000031,E0002,P0010,attack
3.437703,R000000032,E0002,P0010,attack
3.826081,R000000033,E0002,P0010,attack
3.904785,R000000034,E0003,P0007,attack
3.972436,R000000035,E0001,P0010,attack
4.019656,R000000036,E0002,P0010,attack
4.047335,R000000037,E0003,P0007,attack
4.210190,R000000038,E0003,P0005,attack
4.654806,R000000039,E0001,P0002,attack
4.676803,R000000040,E0002,P0010,attack
4.742683,R000000041,E0001,P0002,attack
4.834882,R000000042,E0001,P0002,attack
4.886190,R000000043,E0001,P0002,attack
5.511912,R000000044,E0001,P0002,attack
5.585618,R000000045,E0001,P0002,attack
5.816129,R000000046,E0001,P0002,attack
5.883654,R000000047,E0002,P0010,attack
5.894659,R000000048,E0003,P0007,attack
6.012963,R000000049,E0001,P0002,attack
6.824579,R000000050,E0001,P0002,attack
6.845438,R000000051,E0003,P0007,attack
7.018510,R000000052,E0002,P0010,attack
7.096734,R000000053,E0002,P0009,attack
7.216859,R000000054,E0003,P0007,attack
7.317894,R000000055,E0001,P0002,attack
