peer_id,initial_x,initial_y,movement_model,movement_speed
P0001,629.040126,723.304699,random_walk,2.000000
P0002,811.365242,555.254305,random_walk,2.000000
P0003,853.956341,517.532639,random_walk,2.000000
P0004,579.314568,884.680993,random_walk,2.000000
P0005,59.851626,728.345252,random_walk,2.000000
P0006,722.593360,590.889024,random_walk,2.000000
P0007,816.754748,206.737769,random_walk,2.000000
P0008,917.847044,622.829867,random_walk,2.000000
P0009,383.804805,969.651857,random_walk,2.000000
P0010,22.719822,438.836413,random_walk,2.000000
