phase_duration,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
2.0,engagement_g00_d0.0,3009.800000,60.948339,341.600000,26.101724,0.113438,0.007361,107.089065,7.260420,94.928069,6.224748,96.928069,6.224748,96.928069,6.224748,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g00_d0.25,3009.800000,60.948339,132.600000,7.700649,0.044068,0.002631,106.749541,6.494084,102.038686,6.082963,104.038686,6.082963,104.038686,6.082963,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g00_d0.5,3009.800000,60.948339,85.600000,9.476286,0.028463,0.003312,106.644546,6.300704,103.602571,6.000024,105.602571,6.000024,105.602571,6.000024,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g00_d1.0,3009.800000,60.948339,40.000000,4.636809,0.013286,0.001479,106.145507,5.738461,104.735851,5.678792,106.735851,5.678792,106.735851,5.678792,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g00_d10.0,3009.800000,60.948339,147.000000,8.455767,0.048874,0.003274,101.036259,3.911986,96.097755,3.716147,98.097755,3.716147,98.097755,3.716147,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g00_d2.0,3009.800000,60.948339,26.400000,3.646917,0.008789,0.001348,103.978262,4.336701,103.065586,4.338589,105.065586,4.338589,105.065586,4.338589,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g00_d5.0,3009.800000,60.948339,95.000000,21.189620,0.031500,0.006621,101.616466,3.443061,98.416667,3.439698,100.416667,3.439698,100.416667,3.439698,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d0.0,3009.800000,60.948339,207.600000,16.831518,0.068957,0.005088,104.512380,4.503873,97.293480,3.869633,99.293480,3.869633,99.293480,3.869633,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d0.25,3009.800000,60.948339,118.800000,13.791302,0.039509,0.004832,104.357468,4.622009,100.219793,4.051157,102.219793,4.051157,102.219793,4.051157,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d0.5,3009.800000,60.948339,81.800000,11.278298,0.027212,0.003947,104.255693,4.561850,101.408063,4.153315,103.408063,4.153315,103.408063,4.153315,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d1.0,3009.800000,60.948339,42.800000,8.467585,0.014238,0.002900,104.063704,3.804696,102.580555,3.718896,104.580555,3.718896,104.580555,3.718896,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d10.0,3009.800000,60.948339,148.000000,6.442049,0.049199,0.002582,101.314519,3.911893,96.330865,3.755354,98.330865,3.755354,98.330865,3.755354,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d2.0,3009.800000,60.948339,29.600000,8.561542,0.009867,0.002987,104.005246,2.815138,102.978095,2.766249,104.978095,2.766249,104.978095,2.766249,0.000000,0.000000,0.000000,0.000000
2.0,engagement_g05_d5.0,3009.800000,60.948339,142.000000,18.493242,0.047261,0.006814,103.021537,5.178267,98.144803,4.774468,100.144803,4.774468,100.144803,4.774468,0.000000,0.000000,0.000000,0.000000
2.0,naive_target_aware,3009.800000,60.948339,341.600000,26.101724,0.113438,0.007361,107.089065,7.260420,94.928069,6.224748,96.928069,6.224748,96.928069,6.224748,0.000000,0.000000,0.000000,0.000000
2.0,nearest,3009.800000,60.948339,158.200000,10.940750,0.052560,0.003461,99.038851,3.955626,93.829420,3.634662,95.829420,3.634662,95.829420,3.634662,0.000000,0.000000,0.000000,0.000000
2.0,oracle_a1,3009.800000,60.948339,1994.000000,81.280379,0.662402,0.019800,30.485203,2.246665,10.267617,0.574346,12.267617,0.574346,12.267617,0.574346,0.000000,0.000000,0.000000,0.000000
2.0,static,3009.800000,60.948339,148.000000,6.442049,0.049199,0.002582,101.314519,3.911893,96.330865,3.755354,98.330865,3.755354,98.330865,3.755354,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g00_d0.0,3009.800000,60.948339,1145.600000,52.386067,0.380470,0.009815,106.015988,9.217211,65.698849,6.005107,67.698849,6.005107,67.698849,6.005107,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g00_d0.25,3009.800000,60.948339,809.400000,39.959980,0.268797,0.007873,106.311980,9.308753,77.759524,7.121309,79.759524,7.121309,79.759524,7.121309,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g00_d0.5,3009.800000,60.948339,700.800000,44.324937,0.232691,0.010337,106.473151,8.957201,81.727650,7.304608,83.727650,7.304608,83.727650,7.304608,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g00_d1.0,3009.800000,60.948339,514.200000,26.808581,0.170780,0.006389,106.815039,8.998137,88.597845,7.794748,90.597845,7.794748,90.597845,7.794748,0.000000,0.000000,0.000000,0.000000
