phase_duration,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
2.0,1,static,3072,152,0.049479,95.843976,91.101696,93.101696,93.101696,0.000000,0.000000
2.0,1,nearest,3072,165,0.053711,98.423639,93.137213,95.137213,95.137213,0.000000,0.000000
2.0,1,naive_target_aware,3072,346,0.112630,97.479927,86.500742,88.500742,88.500742,0.000000,0.000000
2.0,1,engagement_g00_d0.0,3072,346,0.112630,97.479927,86.500742,88.500742,88.500742,0.000000,0.000000
2.0,1,engagement_g00_d0.25,3072,123,0.040039,98.538259,94.592879,96.592879,96.592879,0.000000,0.000000
2.0,1,engagement_g00_d0.5,3072,71,0.023112,99.096719,96.806397,98.806397,98.806397,0.000000,0.000000
2.0,1,engagement_g00_d1.0,3072,37,0.012044,100.284469,99.076616,101.076616,101.076616,0.000000,0.000000
2.0,1,engagement_g00_d2.0,3072,24,0.007812,99.172582,98.397796,100.397796,100.397796,0.000000,0.000000
2.0,1,engagement_g00_d5.0,3072,126,0.041016,98.348743,94.314908,96.314908,96.314908,0.000000,0.000000
2.0,1,engagement_g00_d10.0,3072,152,0.049479,95.843976,91.101696,93.101696,93.101696,0.000000,0.000000
2.0,1,engagement_g05_d0.0,3072,198,0.064453,98.053439,91.733588,93.733588,93.733588,0.000000,0.000000
2.0,1,engagement_g05_d0.25,3072,95,0.030924,97.870243,94.843657,96.843657,96.843657,0.000000,0.000000
2.0,1,engagement_g05_d0.5,3072,62,0.020182,98.126345,96.145930,98.145930,98.145930,0.000000,0.000000
2.0,1,engagement_g05_d1.0,3072,31,0.010091,99.426248,98.422923,100.422923,100.422923,0.000000,0.000000
2.0,1,engagement_g05_d2.0,3072,24,0.007812,99.643707,98.865241,100.865241,100.865241,0.000000,0.000000
2.0,1,engagement_g05_d5.0,3072,146,0.047526,94.707197,90.206139,92.206139,92.206139,0.000000,0.000000
2.0,1,engagement_g05_d10.0,3072,152,0.049479,95.843976,91.101696,93.101696,93.101696,0.000000,0.000000
2.0,1,oracle_a1,3072,2070,0.673828,29.478399,9.615025,11.615025,11.615025,0.000000,0.000000
2.0,2,static,3076,138,0.044863,101.869986,97.299746,99.299746,99.299746,0.000000,0.000000
2.0,2,nearest,3076,165,0.053641,94.145541,89.095472,91.095472,91.095472,0.000000,0.000000
2.0,2,naive_target_aware,3076,370,0.120286,115.883998,101.944765,103.944765,103.944765,0.000000,0.000000
2.0,2,engagement_g00_d0.0,3076,370,0.120286,115.883998,101.944765,103.944765,103.944765,0.000000,0.000000
2.0,2,engagement_g00_d0.25,3076,140,0.045514,114.296894,109.094825,111.094825,111.094825,0.000000,0.000000
2.0,2,engagement_g00_d0.5,3076,91,0.029584,113.772897,110.407053,112.407053,112.407053,0.000000,0.000000
2.0,2,engagement_g00_d1.0,3076,44,0.014304,112.915269,111.300096,113.300096,113.300096,0.000000,0.000000
2.0,2,engagement_g00_d2.0,3076,22,0.007152,107.399322,106.631186,108.631186,108.631186,0.000000,0.000000
2.0,2,engagement_g00_d5.0,3076,96,0.031209,105.328445,102.041212,104.041212,104.041212,0.000000,0.000000
2.0,2,engagement_g00_d10.0,3076,133,0.043238,100.478690,96.134195,98.134195,98.134195,0.000000,0.000000
2.0,2,engagement_g05_d0.0,3076,233,0.075748,107.731785,99.571348,101.571348,101.571348,0.000000,0.000000
2.0,2,engagement_g05_d0.25,3076,131,0.042588,107.955473,103.357890,105.357890,105.357890,0.000000,0.000000
2.0,2,engagement_g05_d0.5,3076,90,0.029259,107.932547,104.774573,106.774573,106.774573,0.000000,0.000000
2.0,2,engagement_g05_d1.0,3076,46,0.014954,107.796573,106.184530,108.184530,108.184530,0.000000,0.000000
2.0,2,engagement_g05_d2.0,3076,22,0.007152,105.100030,104.348339,106.348339,106.348339,0.000000,0.000000
2.0,2,engagement_g05_d5.0,3076,118,0.038362,103.461129,99.492204,101.492204,101.492204,0.000000,0.000000
2.0,2,engagement_g05_d10.0,3076,138,0.044863,101.869986,97.299746,99.299746,99.299746,0.000000,0.000000
2.0,2,oracle_a1,3076,2012,0.654096,30.742657,10.634001,12.634001,12.634001,0.000000,0.000000
2.0,3,static,2993,155,0.051788,99.044086,93.914840,95.914840,95.914840,0.000000,0.000000
2.0,3,nearest,2993,139,0.046442,96.989589,92.485228,94.485228,94.485228,0.000000,0.000000
2.0,3,naive_target_aware,2993,356,0.118944,103.757676,91.416302,93.416302,93.416302,0.000000,0.000000
2.0,3,engagement_g00_d0.0,2993,356,0.118944,103.757676,91.416302,93.416302,93.416302,0.000000,0.000000
2.0,3,engagement_g00_d0.25,2993,141,0.047110,103.606602,98.725703,100.725703,100.725703,0.000000,0.000000
2.0,3,engagement_g00_d0.5,2993,96,0.032075,103.305750,99.992235,101.992235,101.992235,0.000000,0.000000
2.0,3,engagement_g00_d1.0,2993,45,0.015035,102.124975,100.589518,102.589518,102.589518,0.000000,0.000000
2.0,3,engagement_g00_d2.0,2993,29,0.009689,101.702352,100.716930,102.716930,102.716930,0.000000,0.000000
2.0,3,engagement_g00_d5.0,2993,79,0.026395,103.177197,100.453843,102.453843,102.453843,0.000000,0.000000
2.0,3,engagement_g00_d10.0,2993,155,0.051788,99.044086,93.914840,95.914840,95.914840,0.000000,0.000000
2.0,3,engagement_g05_d0.0,2993,208,0.069495,102.343793,95.231361,97.231361,97.231361,0.000000,0.000000
2.0,3,engagement_g05_d0.25,2993,123,0.041096,102.041387,97.847906,99.847906,99.847906,0.000000,0.000000
2.0,3,engagement_g05_d0.5,2993,86,0.028734,101.753257,98.829508,100.829508,100.829508,0.000000,0.000000
2.0,3,engagement_g05_d1.0,2993,50,0.016706,101.745480,100.045756,102.045756,102.045756,0.000000,0.000000
2.0,3,engagement_g05_d2.0,2993,33,0.011026,103.393622,102.253632,104.253632,104.253632,0.000000,0.000000
2.0,3,engagement_g05_d5.0,2993,128,0.042766,103.679852,99.245832,101.245832,101.245832,0.000000,0.000000
2.0,3,engagement_g05_d10.0,2993,155,0.051788,99.044086,93.914840,95.914840,95.914840,0.000000,0.000000
2.0,3,oracle_a1,2993,2069,0.691280,33.444257,10.324923,12.324923,12.324923,0.000000,0.000000
2.0,4,static,2947,147,0.049881,104.854325,99.624062,101.624062,101.624062,0.000000,0.000000
2.0,4,nearest,2947,162,0.054971,101.158615,95.597809,97.597809,97.597809,0.000000,0.000000
2.0,4,naive_target_aware,2947,335,0.113675,112.438849,99.657372,101.657372,101.657372,0.000000,0.000000
2.0,4,engagement_g00_d0.0,2947,335,0.113675,112.438849,99.657372,101.657372,101.657372,0.000000,0.000000
2.0,4,engagement_g00_d0.25,2947,129,0.043773,112.339478,107.422005,109.422005,109.422005,0.000000,0.000000
2.0,4,engagement_g00_d0.5,2947,83,0.028164,112.573529,109.402982,111.402982,111.402982,0.000000,0.000000
2.0,4,engagement_g00_d1.0,2947,34,0.011537,111.608581,110.320936,112.320936,112.320936,0.000000,0.000000
2.0,4,engagement_g00_d2.0,2947,26,0.008823,109.586766,108.619933,110.619933,110.619933,0.000000,0.000000
2.0,4,engagement_g00_d5.0,2947,72,0.024432,97.571276,95.187451,97.187451,97.187451,0.000000,0.000000
