phase_duration,policy_id,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,migration_count_mean,migration_count_std,max_requests_per_peer_mean,max_requests_per_peer_std,request_imbalance_mean,request_imbalance_std
2.0,engagement_g00_d0.0,96.928069,6.224748,191.222278,5.673745,501.200000,3.033150,204.600000,10.237187,1.359438,0.058930
2.0,engagement_g00_d0.25,104.038686,6.082963,190.685932,4.903489,438.000000,7.778175,206.200000,10.616026,1.369826,0.054107
2.0,engagement_g00_d0.5,105.602571,6.000024,190.470435,5.050503,417.400000,5.770615,210.800000,8.786353,1.400696,0.049110
2.0,engagement_g00_d1.0,106.735851,5.678792,190.540499,4.950751,380.200000,9.679876,216.000000,8.276473,1.435422,0.051467
2.0,engagement_g00_d10.0,98.097755,3.716147,189.226550,3.441842,0.200000,0.447214,954.200000,315.897452,6.324955,2.049319
2.0,engagement_g00_d2.0,105.065586,4.338589,189.913757,4.020958,285.600000,9.914636,225.800000,13.935566,1.500631,0.092169
2.0,engagement_g00_d5.0,100.416667,3.439698,191.255907,3.127735,51.000000,6.782330,489.800000,48.411775,3.253245,0.289944
2.0,engagement_g05_d0.0,99.293480,3.869633,193.867768,3.063186,208.400000,13.427584,273.000000,17.621010,1.816432,0.151048
2.0,engagement_g05_d0.25,102.219793,4.051157,193.867768,3.063186,206.400000,13.776792,274.200000,16.649324,1.824189,0.142742
2.0,engagement_g05_d0.5,103.408063,4.153315,193.867768,3.063186,204.800000,14.007141,273.600000,19.243181,1.820250,0.156908
2.0,engagement_g05_d1.0,104.580555,3.718896,193.412319,3.844298,199.400000,12.381438,281.400000,24.388522,1.872965,0.196823
2.0,engagement_g05_d10.0,98.330865,3.755354,189.226550,3.441842,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
2.0,engagement_g05_d2.0,104.978095,2.766249,191.829563,2.854834,158.000000,16.985288,303.200000,23.594491,2.015378,0.162849
2.0,engagement_g05_d5.0,100.144803,4.774468,192.335841,2.500837,10.800000,3.346640,712.600000,167.917539,4.723808,1.044810
2.0,naive_target_aware,96.928069,6.224748,191.222278,5.673745,501.200000,3.033150,204.600000,10.237187,1.359438,0.058930
2.0,nearest,95.829420,3.634662,187.781422,7.016598,9.000000,8.972179,848.400000,312.610460,5.625803,2.027862
2.0,oracle_a1,12.267617,0.574346,52.208624,6.667446,1192.800000,64.677662,307.200000,15.642890,2.042782,0.127063
2.0,static,98.330865,3.755354,189.226550,3.441842,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
5.0,engagement_g00_d0.0,67.698849,6.005107,191.006963,5.495191,298.200000,2.863564,173.400000,3.781534,1.152330,0.018622
5.0,engagement_g00_d0.25,79.759524,7.121309,191.602200,6.204694,292.800000,2.489980,174.400000,4.774935,1.159048,0.031064
5.0,engagement_g00_d0.5,83.727650,7.304608,191.602200,6.204694,290.000000,2.915476,175.600000,5.941380,1.167056,0.040244
5.0,engagement_g00_d1.0,90.597845,7.794748,191.602200,6.204694,286.800000,3.420526,175.600000,4.393177,1.167231,0.037577
5.0,engagement_g00_d10.0,101.116106,4.753981,189.226550,3.441842,2.000000,1.224745,864.400000,281.067252,5.718504,1.752456
5.0,engagement_g00_d2.0,101.360080,8.772904,193.323592,4.481237,275.800000,3.492850,178.600000,10.620734,1.186763,0.065858
5.0,engagement_g00_d5.0,107.401953,5.649525,191.350789,6.034105,120.800000,3.420526,260.400000,16.410363,1.732292,0.137569
5.0,engagement_g05_d0.0,70.044869,5.937222,191.163838,5.660481,281.600000,4.505552,181.600000,12.033287,1.206317,0.066321
5.0,engagement_g05_d0.25,80.257331,6.916969,191.602200,6.204694,279.400000,3.209361,179.600000,12.259690,1.192966,0.067413
5.0,engagement_g05_d0.5,84.199377,7.197536,192.271328,5.534530,278.400000,3.847077,181.400000,9.528903,1.205050,0.048282
5.0,engagement_g05_d1.0,90.870485,7.788262,192.310734,5.466852,277.200000,3.563706,179.200000,11.122050,1.190816,0.069420
5.0,engagement_g05_d10.0,99.837810,3.451188,188.981820,3.525581,0.400000,0.894427,953.800000,315.674199,6.322355,2.048055
5.0,engagement_g05_d2.0,101.665597,8.430215,194.591567,2.565344,266.200000,3.271085,182.000000,14.645819,1.209064,0.087923
