phase_duration,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
2.0,1,static,3072,93.101696,184.634696,0,1224,7.968750
2.0,1,nearest,3072,95.137213,193.298725,25,629,4.095052
2.0,1,naive_target_aware,3072,88.500742,184.634696,505,218,1.419271
2.0,1,engagement_g00_d0.0,3072,88.500742,184.634696,505,218,1.419271
2.0,1,engagement_g00_d0.25,3072,96.592879,184.634696,450,221,1.438802
2.0,1,engagement_g00_d0.5,3072,98.806397,184.634696,423,217,1.412760
2.0,1,engagement_g00_d1.0,3072,101.076616,184.985015,391,218,1.419271
2.0,1,engagement_g00_d2.0,3072,100.397796,184.985015,294,222,1.445312
2.0,1,engagement_g00_d5.0,3072,96.314908,188.974578,43,459,2.988281
2.0,1,engagement_g00_d10.0,3072,93.101696,184.634696,0,1224,7.968750
2.0,1,engagement_g05_d0.0,3072,93.733588,192.868599,216,257,1.673177
2.0,1,engagement_g05_d0.25,3072,96.843657,192.868599,216,263,1.712240
2.0,1,engagement_g05_d0.5,3072,98.145930,192.868599,215,260,1.692708
2.0,1,engagement_g05_d1.0,3072,100.422923,192.868599,208,260,1.692708
2.0,1,engagement_g05_d2.0,3072,100.865241,192.868599,163,312,2.031250
2.0,1,engagement_g05_d5.0,3072,92.206139,192.868599,8,724,4.713542
2.0,1,engagement_g05_d10.0,3072,93.101696,184.634696,0,1224,7.968750
2.0,1,oracle_a1,3072,11.615025,48.235080,1177,280,1.822917
2.0,2,static,3076,99.299746,187.852690,0,1260,8.192458
2.0,2,nearest,3076,91.095472,192.414643,5,1206,7.841352
2.0,2,naive_target_aware,3076,103.944765,198.371029,501,206,1.339402
2.0,2,engagement_g00_d0.0,3076,103.944765,198.371029,501,206,1.339402
2.0,2,engagement_g00_d0.25,3076,111.094825,195.689299,438,211,1.371912
2.0,2,engagement_g00_d0.5,3076,112.407053,195.689299,421,219,1.423927
2.0,2,engagement_g00_d1.0,3076,113.300096,195.689299,384,219,1.423927
2.0,2,engagement_g00_d2.0,3076,108.631186,191.478106,285,241,1.566970
2.0,2,engagement_g00_d5.0,3076,104.041212,188.027506,47,574,3.732120
2.0,2,engagement_g00_d10.0,3076,98.134195,187.852690,1,1096,7.126138
2.0,2,engagement_g05_d0.0,3076,101.571348,195.689299,216,251,1.631990
2.0,2,engagement_g05_d0.25,3076,105.357890,195.689299,213,251,1.631990
2.0,2,engagement_g05_d0.5,3076,106.774573,195.689299,213,249,1.618986
2.0,2,engagement_g05_d1.0,3076,108.184530,195.394846,211,250,1.625488
2.0,2,engagement_g05_d2.0,3076,106.348339,189.197740,165,290,1.885566
2.0,2,engagement_g05_d5.0,3076,101.492204,189.262142,12,960,6.241873
2.0,2,engagement_g05_d10.0,3076,99.299746,187.852690,0,1260,8.192458
2.0,2,oracle_a1,3076,12.634001,60.589465,1222,315,2.048114
2.0,3,static,2993,95.914840,191.259772,0,620,4.143000
2.0,3,nearest,2993,94.485228,175.873447,5,1175,7.851654
2.0,3,naive_target_aware,2993,93.416302,188.906630,497,196,1.309723
2.0,3,engagement_g00_d0.0,2993,93.416302,188.906630,497,196,1.309723
2.0,3,engagement_g00_d0.25,2993,100.725703,188.906630,434,196,1.309723
2.0,3,engagement_g00_d0.5,2993,101.992235,188.906630,418,199,1.329769
2.0,3,engagement_g00_d1.0,2993,102.589518,188.906630,378,224,1.496826
2.0,3,engagement_g00_d2.0,2993,102.716930,188.906630,292,212,1.416639
2.0,3,engagement_g00_d5.0,2993,102.453843,191.730185,53,463,3.093886
2.0,3,engagement_g00_d10.0,2993,95.914840,191.259772,0,620,4.143000
2.0,3,engagement_g05_d0.0,2993,97.231361,188.906630,221,288,1.924490
2.0,3,engagement_g05_d0.25,2993,99.847906,188.906630,219,291,1.944537
2.0,3,engagement_g05_d0.5,2993,100.829508,188.906630,216,298,1.991313
2.0,3,engagement_g05_d1.0,2993,102.045756,186.923839,205,300,2.004678
2.0,3,engagement_g05_d2.0,2993,104.253632,188.906630,170,328,2.191781
2.0,3,engagement_g05_d5.0,2993,101.245832,192.273920,16,697,4.657534
2.0,3,engagement_g05_d10.0,2993,95.914840,191.259772,0,620,4.143000
2.0,3,oracle_a1,2993,12.324923,55.841325,1117,318,2.124958
2.0,4,static,2947,101.624062,193.697416,0,606,4.112657
2.0,4,nearest,2947,97.597809,189.576396,4,606,4.112657
2.0,4,naive_target_aware,2947,101.657372,195.798390,503,210,1.425178
2.0,4,engagement_g00_d0.0,2947,101.657372,195.798390,503,210,1.425178
2.0,4,engagement_g00_d0.25,2947,109.422005,195.798390,429,207,1.404818
2.0,4,engagement_g00_d0.5,2947,111.402982,195.798390,408,215,1.459111
2.0,4,engagement_g00_d1.0,2947,112.320936,195.798390,365,217,1.472684
2.0,4,engagement_g00_d2.0,2947,110.619933,195.798390,288,240,1.628775
2.0,4,engagement_g00_d5.0,2947,97.187451,191.471346,61,465,3.155752
2.0,4,engagement_g00_d10.0,2947,101.624062,193.697416,0,606,4.112657
2.0,4,engagement_g05_d0.0,2947,103.587722,195.798390,200,287,1.947743
2.0,4,engagement_g05_d0.25,2947,106.831858,195.798390,197,285,1.934170
2.0,4,engagement_g05_d0.5,2947,108.225714,195.798390,195,280,1.900238
2.0,4,engagement_g05_d1.0,2947,108.756487,195.798390,191,297,2.015609
2.0,4,engagement_g05_d2.0,2947,108.336479,195.798390,164,317,2.151340
2.0,4,engagement_g05_d5.0,2947,100.647076,191.198623,10,695,4.716661
2.0,4,engagement_g05_d10.0,2947,101.624062,193.697416,0,606,4.112657
2.0,4,oracle_a1,2947,11.777958,43.378507,1287,308,2.090261
2.0,5,static,2961,101.713981,188.688177,0,1225,8.274232
2.0,5,nearest,2961,100.831380,187.743898,6,626,4.228301
2.0,5,naive_target_aware,2961,97.121164,188.400644,500,193,1.303614
2.0,5,engagement_g00_d0.0,2961,97.121164,188.400644,500,193,1.303614
2.0,5,engagement_g00_d0.25,2961,102.358016,188.400644,439,196,1.323877
2.0,5,engagement_g00_d0.5,2961,103.404188,187.323161,417,204,1.377913
2.0,5,engagement_g00_d1.0,2961,104.392091,187.323161,383,202,1.364404
2.0,5,engagement_g00_d2.0,2961,102.962087,188.400644,269,214,1.445458
