dominant_peer_ratio,policy_id,selector,theta_d,window_size,n_seeds,combined_s_alpha1_mean,combined_s_alpha1_std,mean_latency_ms_mean,migration_count_mean
0.85,static,,,,30,305.621663,20.015141,101.807145,0.000000
0.85,nearest,,,,30,302.175613,22.989841,100.207179,12.566667
0.85,demand_argmax_w5_d0,demand_argmax,0.0,5,30,114.673164,6.039281,32.275439,167.466667
0.85,demand_argmax_w5_d0.25,demand_argmax,0.25,5,30,133.394054,7.663736,38.918620,155.166667
0.85,demand_argmax_w5_d0.5,demand_argmax,0.5,5,30,140.066514,8.004730,41.180031,154.033333
0.85,demand_argmax_w5_d1,demand_argmax,1.0,5,30,152.941120,9.571330,45.549111,151.800000
0.85,demand_argmax_w5_d2,demand_argmax,2.0,5,30,180.291778,12.248053,54.714954,150.066667
0.85,demand_argmax_w5_d5,demand_argmax,5.0,5,30,261.412048,18.040371,81.813542,148.033333
0.85,demand_argmax_w5_d10,demand_argmax,10.0,5,30,318.032610,20.645439,104.339155,46.833333
0.85,demand_argmax_w10_d0,demand_argmax,0.0,10,30,145.496962,8.715799,43.071775,151.533333
0.85,demand_argmax_w10_d0.25,demand_argmax,0.25,10,30,165.769877,10.498972,49.875040,150.033333
0.85,demand_argmax_w10_d0.5,demand_argmax,0.5,10,30,172.351096,11.078211,52.074064,149.900000
0.85,demand_argmax_w10_d1,demand_argmax,1.0,10,30,185.611080,12.042225,56.489911,149.866667
0.85,demand_argmax_w10_d2,demand_argmax,2.0,10,30,212.688340,14.289633,65.517245,149.700000
0.85,demand_argmax_w10_d5,demand_argmax,5.0,10,30,290.951654,20.819808,91.645118,148.400000
0.85,demand_argmax_w10_d10,demand_argmax,10.0,10,30,323.532650,22.805060,105.804722,56.500000
0.85,demand_argmax_w20_d0,demand_argmax,0.0,20,30,210.089019,14.464299,64.620879,150.966667
0.85,demand_argmax_w20_d0.25,demand_argmax,0.25,20,30,229.712836,15.971640,71.207672,149.633333
0.85,demand_argmax_w20_d0.5,demand_argmax,0.5,20,30,236.056254,16.581698,73.325805,149.500000
0.85,demand_argmax_w20_d1,demand_argmax,1.0,20,30,249.293644,17.545589,77.744687,149.233333
0.85,demand_argmax_w20_d2,demand_argmax,2.0,20,30,273.756345,19.277093,85.926394,148.500000
0.85,demand_argmax_w20_d5,demand_argmax,5.0,20,30,326.971592,22.122222,103.870651,141.866667
0.85,demand_argmax_w20_d10,demand_argmax,10.0,20,30,323.763368,21.506169,105.623684,62.666667
0.85,demand_argmax_w30_d0,demand_argmax,0.0,30,30,267.372025,19.277951,83.787628,149.000000
0.85,demand_argmax_w30_d0.25,demand_argmax,0.25,30,30,283.323367,20.305865,89.200002,146.200000
0.85,demand_argmax_w30_d0.5,demand_argmax,0.5,30,30,288.335760,20.865604,90.898715,145.466667
0.85,demand_argmax_w30_d1,demand_argmax,1.0,30,30,297.996636,21.333441,94.154876,144.233333
0.85,demand_argmax_w30_d2,demand_argmax,2.0,30,30,313.169589,21.581768,99.287715,141.633333
0.85,demand_argmax_w30_d5,demand_argmax,5.0,30,30,331.414077,21.346885,105.698770,131.566667
0.85,demand_argmax_w30_d10,demand_argmax,10.0,30,30,322.530619,22.909426,105.067033,67.333333
0.85,demand_argmax_w100_d0,demand_argmax,0.0,100,30,307.852195,19.773854,100.027611,73.166667
0.85,demand_argmax_w100_d0.25,demand_argmax,0.25,100,30,310.536303,20.057281,101.057037,69.100000
0.85,demand_argmax_w100_d0.5,demand_argmax,0.5,100,30,311.453955,20.114122,101.412677,67.933333
0.85,demand_argmax_w100_d1,demand_argmax,1.0,100,30,312.575823,20.013150,101.846659,66.400000
0.85,demand_argmax_w100_d2,demand_argmax,2.0,100,30,314.097761,19.867175,102.467127,63.066667
0.85,demand_argmax_w100_d5,demand_argmax,5.0,100,30,315.231472,18.197678,103.062243,56.933333
0.85,demand_argmax_w100_d10,demand_argmax,10.0,100,30,315.688324,16.278747,103.574110,46.733333
0.85,rtt_weighted_w5_d0,rtt_weighted,0.0,5,30,117.965225,4.911727,31.175451,520.966667
0.85,rtt_weighted_w5_d0.25,rtt_weighted,0.25,5,30,135.492411,7.125167,39.429198,342.133333
0.85,rtt_weighted_w5_d0.5,rtt_weighted,0.5,5,30,143.985850,8.267511,42.388271,307.600000
0.85,rtt_weighted_w5_d1,rtt_weighted,1.0,5,30,161.615372,9.842363,48.513030,247.733333
0.85,rtt_weighted_w5_d2,rtt_weighted,2.0,5,30,202.127352,14.842797,62.357663,175.566667
0.85,rtt_weighted_w5_d5,rtt_weighted,5.0,5,30,288.017838,18.266213,92.755084,94.566667
0.85,rtt_weighted_w5_d10,rtt_weighted,10.0,5,30,302.141160,19.583356,100.376777,8.100000
0.85,rtt_weighted_w10_d0,rtt_weighted,0.0,10,30,129.509623,5.993698,37.127900,400.266667
0.85,rtt_weighted_w10_d0.25,rtt_weighted,0.25,10,30,147.046942,8.130528,44.612618,291.200000
0.85,rtt_weighted_w10_d0.5,rtt_weighted,0.5,10,30,154.754478,8.639638,47.335065,271.766667
0.85,rtt_weighted_w10_d1,rtt_weighted,1.0,10,30,172.164102,9.984476,53.176663,240.200000
0.85,rtt_weighted_w10_d2,rtt_weighted,2.0,10,30,212.355686,13.292541,66.346476,190.433333
0.85,rtt_weighted_w10_d5,rtt_weighted,5.0,10,30,297.731450,20.059316,95.442066,115.100000
0.85,rtt_weighted_w10_d10,rtt_weighted,10.0,10,30,301.323206,21.107486,99.835308,16.066667
0.85,rtt_weighted_w20_d0,rtt_weighted,0.0,20,30,169.902642,10.096762,51.021346,345.300000
0.85,rtt_weighted_w20_d0.25,rtt_weighted,0.25,20,30,185.601610,11.414573,57.629903,269.200000
