comparison_type,dominant_peer_ratio,policy_a,policy_b,n_seeds,mean_diff_combined_s,bootstrap_ci95_low,bootstrap_ci95_high,verdict
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d0,nearest,30,-184.210388,-192.014235,-176.430556,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d0.25,nearest,30,-166.683202,-174.834538,-158.501913,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d0.5,nearest,30,-158.189763,-166.213408,-150.163390,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d1,nearest,30,-140.560240,-148.765822,-132.282059,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d2,nearest,30,-100.048261,-108.858800,-91.329296,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d5,nearest,30,-14.157775,-23.693470,-4.764893,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w5_d10,nearest,30,-0.034452,-9.123880,9.154688,not_significant
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d0,nearest,30,-172.665990,-180.762629,-164.572539,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d0.25,nearest,30,-155.128671,-163.514514,-146.625470,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d0.5,nearest,30,-147.421135,-155.919182,-138.838888,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d1,nearest,30,-130.011510,-138.926494,-120.898944,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d2,nearest,30,-89.819927,-99.029299,-80.514958,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d5,nearest,30,-4.444162,-14.789995,5.752700,not_significant
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w10_d10,nearest,30,-0.852407,-10.913484,9.328341,not_significant
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d0,nearest,30,-132.272971,-141.489076,-123.101894,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d0.25,nearest,30,-116.574003,-125.724562,-107.359560,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d0.5,nearest,30,-110.155935,-119.435215,-100.825193,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d1,nearest,30,-97.134474,-106.532174,-87.663250,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d2,nearest,30,-69.193130,-78.947458,-59.391024,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d5,nearest,30,-12.247733,-22.502870,-2.871688,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w20_d10,nearest,30,-1.986359,-12.226934,7.555154,not_significant
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d0,nearest,30,-106.529369,-115.610311,-97.577106,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d0.25,nearest,30,-94.218568,-103.123343,-85.417049,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d0.5,nearest,30,-89.396802,-98.300721,-80.635779,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d1,nearest,30,-80.628618,-89.606432,-71.877612,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d2,nearest,30,-61.406740,-70.493694,-52.556705,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d5,nearest,30,-18.672524,-29.380342,-8.626295,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w30_d10,nearest,30,-9.602673,-20.815385,0.893123,not_significant
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d0,nearest,30,-66.611818,-77.023738,-56.804047,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d0.25,nearest,30,-58.487871,-69.318681,-48.177089,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d0.5,nearest,30,-55.769835,-66.653282,-45.443076,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d1,nearest,30,-50.468678,-61.477769,-39.891855,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d2,nearest,30,-39.840256,-50.995008,-28.933362,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d5,nearest,30,-16.090554,-27.530169,-4.640521,a_cheaper
rtt_weighted_vs_best_baseline,0.85,rtt_weighted_w100_d10,nearest,30,-6.212749,-18.482726,6.202184,not_significant
best_rtt_weighted_vs_best_demand_argmax,0.85,rtt_weighted_w5_d0,demand_argmax_w5_d0,30,3.292060,1.820846,4.784116,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d0,nearest,30,-187.502448,-195.598610,-179.414896,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d0.25,nearest,30,-168.781559,-177.079115,-160.454687,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d0.5,nearest,30,-162.109099,-170.330822,-153.795271,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d1,nearest,30,-149.234493,-157.712443,-140.704970,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d2,nearest,30,-121.883835,-130.887948,-112.810577,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d5,nearest,30,-40.763565,-50.819508,-30.663118,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d10,nearest,30,15.856997,5.600567,26.054466,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d0,nearest,30,-156.678651,-165.220084,-148.056333,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d0.25,nearest,30,-136.405735,-145.264962,-127.452125,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d0.5,nearest,30,-129.824517,-138.774347,-120.852729,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d1,nearest,30,-116.564533,-125.604656,-107.496242,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d2,nearest,30,-89.487273,-98.994389,-80.076558,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d5,nearest,30,-11.223958,-22.096254,-0.206675,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d10,nearest,30,21.357037,10.991237,31.363980,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d0,nearest,30,-92.086594,-101.766236,-82.315409,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d0.25,nearest,30,-72.462777,-82.410272,-62.306709,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d0.5,nearest,30,-66.119358,-76.135714,-55.903162,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d1,nearest,30,-52.881969,-63.298366,-42.348228,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d2,nearest,30,-28.419267,-39.349975,-17.339641,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d5,nearest,30,24.795979,13.791010,36.057028,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d10,nearest,30,21.587755,12.102192,31.102485,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d0,nearest,30,-34.803588,-45.602223,-23.798033,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d0.25,nearest,30,-18.852245,-29.883231,-7.670037,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d0.5,nearest,30,-13.839853,-25.037031,-2.530203,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d1,nearest,30,-4.178977,-15.481266,7.307378,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d2,nearest,30,10.993976,-0.176360,22.394513,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d5,nearest,30,29.238464,18.759725,39.998553,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d10,nearest,30,20.355006,10.581374,30.245007,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d0,nearest,30,5.676582,-3.285206,14.878543,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d0.25,nearest,30,8.360690,-0.687419,17.628967,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d0.5,nearest,30,9.278342,0.272811,18.495150,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d1,nearest,30,10.400210,1.394745,19.597000,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d2,nearest,30,11.922148,2.855186,21.176195,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d5,nearest,30,13.055859,4.764429,21.666945,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d10,nearest,30,13.512711,5.916552,21.424640,a_worse
best_demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d0,nearest,30,-187.502448,-195.598610,-179.414896,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d0,nearest,30,-115.237008,-122.290386,-108.375118,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d0.25,nearest,30,-116.698918,-123.851302,-109.499919,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d0.5,nearest,30,-112.163126,-119.480363,-104.809924,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d1,nearest,30,-99.863181,-107.289923,-92.392287,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d2,nearest,30,-65.441454,-73.801205,-57.152471,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d5,nearest,30,-8.515014,-16.600714,-0.817900,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d10,nearest,30,0.518488,-7.894452,9.777811,not_significant
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d0,nearest,30,-123.365441,-130.929737,-115.758990,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d0.25,nearest,30,-117.176057,-124.753302,-109.556972,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d0.5,nearest,30,-111.957220,-119.567768,-104.267247,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d1,nearest,30,-98.816061,-106.787813,-90.753816,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d2,nearest,30,-67.153696,-75.649202,-58.684612,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d5,nearest,30,-11.091874,-20.897490,-1.566458,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d10,nearest,30,-5.464751,-13.865357,2.750021,not_significant
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d0,nearest,30,-101.464906,-109.816091,-93.014853,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d0.25,nearest,30,-93.233558,-101.641570,-84.721991,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d0.5,nearest,30,-88.387733,-96.779268,-79.972147,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d1,nearest,30,-78.415134,-86.898271,-69.906142,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d2,nearest,30,-57.647374,-66.609844,-48.694324,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d5,nearest,30,-18.820345,-28.875963,-9.330861,a_cheaper
